,paper_id,adjusted_score,decision,rating,subjectivity_interval
0,00uVk06eVK,6.0,Accept (poster),6.333333333333333,"[6.0, 6.333333333333333]"
1,01XV5Za56k,5.75,Accept (poster),6.25,"[5.75, 6.25]"
2,01qa1ZJs65,5.75,Accept (poster),5.25,"[5.25, 5.75]"
3,01s5ODIHKd,5.25,Accept (poster),5.5,"[5.25, 5.5]"
4,02CIZ8qeDc,6.0,Accept (poster),6.0,"[6.0, 6.0]"
5,02HWT9c4Lp,5.75,Accept (poster),5.5,"[5.5, 5.75]"
6,02r24A8doi,5.75,Accept (poster),5.25,"[5.25, 5.75]"
7,04EC4ZnZJj,6.5,Accept (poster),6.0,"[6.0, 6.5]"
8,06JRFVK88O,6.0,Accept (poster),6.666666666666667,"[6.0, 6.666666666666667]"
9,06Vt6f2js7,6.333333333333333,Accept (poster),6.666666666666667,"[6.333333333333333, 6.666666666666667]"
10,07N0qoaZ2L,5.75,Accept (poster),5.5,"[5.5, 5.75]"
11,08A6X7FSTs,6.25,Accept (poster),5.5,"[5.5, 6.25]"
12,08GbdALmEs,6.0,Accept (poster),5.25,"[5.25, 6.0]"
13,08oUnmtj8Q,5.0,Reject,4.5,"[4.5, 5.0]"
14,09RKw0vXjR,5.0,Accept (poster),5.75,"[5.0, 5.75]"
15,09nyBqSdUz,6.25,Accept (poster),5.5,"[5.5, 6.25]"
16,0AumdfLzpK,6.0,Accept (poster),6.0,"[6.0, 6.0]"
17,0AwMciNShl,6.0,Accept (poster),5.25,"[5.25, 6.0]"
18,0C3bLHwjsY,6.75,Accept (poster),6.25,"[6.25, 6.75]"
19,0DE1dLMW2b,6.25,Accept (poster),6.0,"[6.0, 6.25]"
20,0EfUYVMrLv,6.0,Accept (poster),6.666666666666667,"[6.0, 6.666666666666667]"
21,0G0VpMjKyV,5.333333333333333,Accept (poster),5.666666666666667,"[5.333333333333333, 5.666666666666667]"
22,0Gl5WxY6es,6.0,Accept (poster),6.0,"[6.0, 6.0]"
23,0HRRNEAQFp,6.666666666666667,Accept (poster),6.333333333333333,"[6.333333333333333, 6.666666666666667]"
24,0JSKjdePGq,5.5,Accept (poster),6.75,"[5.5, 6.75]"
25,0KseSacluJ,5.6,Accept (poster),5.0,"[5.0, 5.6]"
26,0KvYLaTBTE,6.0,Accept (poster),6.333333333333333,"[6.0, 6.333333333333333]"
27,0LXotew9Du,6.25,Accept (poster),6.25,"[6.25, 6.25]"
28,0Lb8vZT1DB,6.5,Accept (spotlight),7.25,"[6.5, 7.25]"
29,0LfgE6kvKZ,5.333333333333333,Accept (poster),5.0,"[5.0, 5.333333333333333]"
30,0Lr9HQijA1,5.25,Accept (poster),5.75,"[5.25, 5.75]"
31,0MXzbAv8xy,6.0,Accept (poster),6.0,"[6.0, 6.0]"
32,0NMzBwqaAJ,6.666666666666667,Accept (oral),7.666666666666667,"[6.666666666666667, 7.666666666666667]"
33,0SRJBtTNhX,5.5,Accept (poster),5.5,"[5.5, 5.5]"
34,0TUMAAb3of,5.75,Accept (poster),6.0,"[5.75, 6.0]"
35,0VeSCjRDBy,5.75,Accept (poster),6.25,"[5.75, 6.25]"
36,0WCFI2Qx85,6.0,Accept (poster),6.25,"[6.0, 6.25]"
37,0XKvW4ijxp,6.5,Accept (poster),6.0,"[6.0, 6.5]"
38,0XeNkkENuI,6.5,Accept (oral),7.5,"[6.5, 7.5]"
39,0ZZMUjZJYF,7.0,Accept (poster),6.5,"[6.5, 7.0]"
40,0ZeONp33f0,6.0,Accept (poster),6.5,"[6.0, 6.5]"
41,0aN7VWwp4g,6.0,Accept (poster),6.0,"[6.0, 6.0]"
42,0bFXbEMz8e,5.666666666666667,Accept (poster),6.0,"[5.666666666666667, 6.0]"
43,0bINeW40u4,6.5,Accept (poster),6.25,"[6.25, 6.5]"
44,0cSQ1Sg7db,6.25,Accept (poster),6.5,"[6.25, 6.5]"
45,0cgDDa4OFr,6.0,Accept (poster),5.8,"[5.8, 6.0]"
46,0d50Il6enG,5.75,Accept (poster),6.0,"[5.75, 6.0]"
47,0dtA21q83C,6.25,Accept (poster),6.0,"[6.0, 6.25]"
48,0e5uOaJxo1,5.0,Accept (poster),5.0,"[5.0, 5.0]"
49,0feJEykDRx,5.75,Accept (poster),5.75,"[5.75, 5.75]"
50,0jld45XGgJ,6.5,Accept (poster),6.5,"[6.5, 6.5]"
51,0l9yGPTHAU,5.5,Accept (poster),6.5,"[5.5, 6.5]"
52,0lBx844upd,5.333333333333333,Accept (poster),5.333333333333333,"[5.333333333333333, 5.333333333333333]"
53,0lau89u4oE,5.5,Accept (poster),5.5,"[5.5, 5.5]"
54,0m19blQT6y,5.75,Accept (poster),5.75,"[5.75, 5.75]"
55,0nSY8NiILP,6.5,Accept (poster),6.0,"[6.0, 6.5]"
56,0nzKznCjFG,5.5,Accept (poster),5.75,"[5.5, 5.75]"
