,lower,upper,x,density,iter
proposal1_1,6.0,6.0,6.0,0.6,0
proposal2_1,1.0,6.0,6.0,0.6,0
proposal3_1,5.0,6.0,6.0,0.6,0
proposal4_1,5.0,6.0,6.0,0.6,0
proposal5_1,4.0,6.0,6.0,0.6,0
proposal6_1,5.0,6.0,5.0,0.6,0
proposal7_1,1.0,6.0,5.5,0.6,0
proposal8_1,5.0,5.0,5.0,0.6,0
proposal9_1,4.0,6.0,5.0,0.6,0
proposal10_1,1.0,6.0,5.0,0.6,0
proposal11_1,4.0,5.0,5.0,0.6,0
proposal12_1,1.0,6.0,5.0,0.6,0
proposal13_1,4.0,5.0,5.0,0.6,0
proposal14_1,4.0,5.0,5.0,0.6,0
proposal15_1,5.0,5.0,5.0,0.6,0
proposal16_1,1.0,6.0,5.0,0.6,0
proposal17_1,5.0,5.0,5.0,0.6,0
proposal18_1,1.0,6.0,5.0,0.6,0
proposal19_1,1.0,6.0,5.0,0.6,0
proposal20_1,4.0,5.0,5.0,0.6,0
proposal21_1,4.0,5.0,5.0,0.6,0
proposal22_1,1.0,6.0,5.0,0.6,0
proposal23_1,1.0,6.0,4.0,0.6,0
proposal24_1,4.0,5.0,5.0,0.6,0
proposal25_1,4.0,5.0,4.0,0.6,0
proposal26_1,4.0,5.0,4.5,0.6,0
proposal27_1,1.0,6.0,4.0,0.6,0
proposal28_1,1.0,6.0,4.0,0.6,0
proposal29_1,4.0,5.0,4.0,0.6,0
proposal30_1,1.0,6.0,4.0,0.6,0
proposal31_1,1.0,6.0,5.0,0.6,0
proposal32_1,4.0,4.0,4.0,0.6,0
proposal33_1,4.0,5.0,4.0,0.6,0
proposal34_1,1.0,6.0,4.0,0.6,0
proposal35_1,1.0,6.0,4.0,0.6,0
proposal36_1,1.0,6.0,4.0,0.6,0
proposal37_1,1.0,6.0,4.0,0.6,0
proposal38_1,3.0,5.0,4.0,0.6,0
proposal39_1,4.0,5.0,4.0,0.6,0
proposal40_1,4.0,4.0,4.0,0.6,0
proposal41_1,1.0,6.0,4.0,0.6,0
proposal42_1,3.0,4.0,4.0,0.6,0
proposal43_1,3.0,4.0,4.0,0.6,0
proposal44_1,4.0,4.0,4.0,0.6,0
proposal45_1,1.0,6.0,3.0,0.6,0
proposal46_1,4.0,4.0,4.0,0.6,0
proposal47_1,3.0,4.0,4.0,0.6,0
proposal48_1,4.0,4.0,4.0,0.6,0
