"proposal","Fund","assessor","grade","num_grade","section"
"proposal1_1",1,"voter1","A",6,"one"
"proposal1_1",1,"voter3","A",6,"one"
"proposal1_1",1,"voter4","A",6,"one"
"proposal1_1",1,"voter5","A",6,"one"
"proposal1_1",1,"voter6","A",6,"one"
"proposal1_1",1,"voter7","A",6,"one"
"proposal1_1",1,"voter8","A",6,"one"
"proposal1_1",1,"voter9","A",6,"one"
"proposal2_1",1,"voter1","A",6,"one"
"proposal2_1",1,"voter2","A",6,"one"
"proposal2_1",1,"voter3","AB",5,"one"
"proposal2_1",1,"voter4","A",6,"one"
"proposal2_1",1,"voter5","A",6,"one"
"proposal2_1",1,"voter7","A",6,"one"
"proposal2_1",1,"voter9","A",6,"one"
"proposal3_1",1,"voter1","A",6,"one"
"proposal3_1",1,"voter2","AB",5,"one"
"proposal3_1",1,"voter4","A",6,"one"
"proposal3_1",1,"voter5","A",6,"one"
"proposal3_1",1,"voter6","A",6,"one"
"proposal3_1",1,"voter7","AB",5,"one"
"proposal3_1",1,"voter8","AB",5,"one"
"proposal3_1",1,"voter9","A",6,"one"
"proposal4_1",1,"voter1","AB",5,"one"
"proposal4_1",1,"voter3","A",6,"one"
"proposal4_1",1,"voter4","AB",5,"one"
"proposal4_1",1,"voter5","A",6,"one"
"proposal4_1",1,"voter6","A",6,"one"
"proposal4_1",1,"voter7","A",6,"one"
"proposal4_1",1,"voter8","A",6,"one"
"proposal4_1",1,"voter9","AB",5,"one"
"proposal5_1",1,"voter1","A",6,"one"
"proposal5_1",1,"voter3","A",6,"one"
"proposal5_1",1,"voter4","A",6,"one"
"proposal5_1",1,"voter5","A",6,"one"
"proposal5_1",1,"voter6","AB",5,"one"
"proposal5_1",1,"voter7","B",4,"one"
"proposal5_1",1,"voter8","A",6,"one"
"proposal6_1",1,"voter1","A",6,"one"
"proposal6_1",1,"voter3","AB",5,"one"
"proposal6_1",1,"voter4","A",6,"one"
"proposal6_1",1,"voter5","AB",5,"one"
"proposal6_1",1,"voter6","AB",5,"one"
"proposal6_1",1,"voter7","AB",5,"one"
"proposal6_1",1,"voter8","A",6,"one"
"proposal7_1",1,"voter1","AB",5,"one"
"proposal7_1",1,"voter2","AB",5,"one"
"proposal7_1",1,"voter3","AB",5,"one"
"proposal7_1",1,"voter4","AB",5,"one"
"proposal7_1",1,"voter5","A",6,"one"
"proposal7_1",1,"voter8","A",6,"one"
"proposal8_1",1,"voter1","AB",5,"one"
"proposal8_1",1,"voter2","AB",5,"one"
"proposal8_1",1,"voter3","AB",5,"one"
"proposal8_1",1,"voter4","A",6,"one"
"proposal8_1",1,"voter5","AB",5,"one"
"proposal8_1",1,"voter6","AB",5,"one"
"proposal8_1",1,"voter8","AB",5,"one"
"proposal8_1",1,"voter9","AB",5,"one"
"proposal9_1",1,"voter1","B",4,"one"
"proposal9_1",1,"voter2","A",6,"one"
"proposal9_1",1,"voter3","AB",5,"one"
"proposal9_1",1,"voter4","AB",5,"one"
"proposal9_1",1,"voter5","AB",5,"one"
"proposal9_1",1,"voter6","AB",5,"one"
"proposal9_1",1,"voter7","B",4,"one"
"proposal9_1",1,"voter8","AB",5,"one"
"proposal9_1",1,"voter9","A",6,"one"
"proposal10_1",1,"voter1","AB",5,"one"
"proposal10_1",1,"voter3","AB",5,"one"
"proposal10_1",1,"voter5","AB",5,"one"
"proposal10_1",1,"voter6","AB",5,"one"
"proposal10_1",1,"voter7","AB",5,"one"
"proposal10_1",1,"voter8","AB",5,"one"
"proposal10_1",1,"voter9","AB",5,"one"
"proposal11_1",1,"voter1","AB",5,"one"
"proposal11_1",1,"voter2","AB",5,"one"
"proposal11_1",1,"voter3","AB",5,"one"
"proposal11_1",1,"voter4","AB",5,"one"
"proposal11_1",1,"voter5","AB",5,"one"
"proposal11_1",1,"voter6","AB",5,"one"
"proposal11_1",1,"voter7","AB",5,"one"
"proposal11_1",1,"voter8","B",4,"one"
"proposal11_1",1,"voter9","AB",5,"one"
"proposal12_1",1,"voter1","AB",5,"one"
"proposal12_1",1,"voter3","AB",5,"one"
"proposal12_1",1,"voter4","AB",5,"one"
"proposal12_1",1,"voter5","AB",5,"one"
"proposal12_1",1,"voter6","AB",5,"one"
"proposal12_1",1,"voter7","AB",5,"one"
"proposal12_1",1,"voter8","B",4,"one"
"proposal12_1",1,"voter9","AB",5,"one"
"proposal13_1",1,"voter1","AB",5,"one"
"proposal13_1",1,"voter3","B",4,"one"
"proposal13_1",1,"voter4","AB",5,"one"
"proposal13_1",1,"voter5","AB",5,"one"
"proposal13_1",1,"voter6","AB",5,"one"
"proposal13_1",1,"voter7","AB",5,"one"
"proposal13_1",1,"voter8","AB",5,"one"
"proposal13_1",1,"voter9","AB",5,"one"
"proposal14_1",1,"voter1","AB",5,"one"
"proposal14_1",1,"voter2","AB",5,"one"
"proposal14_1",1,"voter3","AB",5,"one"
"proposal14_1",1,"voter5","AB",5,"one"
"proposal14_1",1,"voter6","AB",5,"one"
"proposal14_1",1,"voter7","AB",5,"one"
"proposal14_1",1,"voter8","B",4,"one"
"proposal14_1",1,"voter9","AB",5,"one"
"proposal15_1",1,"voter2","AB",5,"one"
"proposal15_1",1,"voter3","AB",5,"one"
"proposal15_1",1,"voter4","AB",5,"one"
"proposal15_1",1,"voter5","AB",5,"one"
"proposal15_1",1,"voter6","AB",5,"one"
"proposal15_1",1,"voter7","AB",5,"one"
"proposal15_1",1,"voter8","B",4,"one"
"proposal15_1",1,"voter9","AB",5,"one"
"proposal16_1",1,"voter2","A",6,"one"
"proposal16_1",1,"voter3","AB",5,"one"
"proposal16_1",1,"voter4","B",4,"one"
"proposal16_1",1,"voter5","AB",5,"one"
"proposal16_1",1,"voter6","AB",5,"one"
"proposal16_1",1,"voter7","B",4,"one"
"proposal16_1",1,"voter8","AB",5,"one"
"proposal16_1",1,"voter9","AB",5,"one"
"proposal17_1",1,"voter1","AB",5,"one"
"proposal17_1",1,"voter3","B",4,"one"
"proposal17_1",1,"voter4","AB",5,"one"
"proposal17_1",1,"voter5","AB",5,"one"
"proposal17_1",1,"voter6","AB",5,"one"
"proposal17_1",1,"voter7","AB",5,"one"
"proposal17_1",1,"voter9","AB",5,"one"
"proposal18_1",1,"voter1","AB",5,"one"
"proposal18_1",1,"voter2","B",4,"one"
"proposal18_1",1,"voter3","B",4,"one"
"proposal18_1",1,"voter4","AB",5,"one"
"proposal18_1",1,"voter5","AB",5,"one"
"proposal18_1",1,"voter8","A",6,"one"
"proposal19_1",1,"voter1","AB",5,"one"
"proposal19_1",1,"voter2","B",4,"one"
"proposal19_1",1,"voter3","AB",5,"one"
"proposal19_1",1,"voter4","AB",5,"one"
"proposal19_1",1,"voter5","AB",5,"one"
"proposal19_1",1,"voter8","AB",5,"one"
"proposal19_1",1,"voter9","B",4,"one"
"proposal20_1",1,"voter1","AB",5,"one"
"proposal20_1",1,"voter2","B",4,"one"
"proposal20_1",1,"voter3","AB",5,"one"
"proposal20_1",1,"voter4","AB",5,"one"
"proposal20_1",1,"voter5","AB",5,"one"
"proposal20_1",1,"voter6","B",4,"one"
"proposal20_1",1,"voter7","AB",5,"one"
"proposal20_1",1,"voter8","B",4,"one"
"proposal20_1",1,"voter9","AB",5,"one"
"proposal21_1",1,"voter2","B",4,"one"
"proposal21_1",1,"voter3","B",4,"one"
"proposal21_1",1,"voter4","AB",5,"one"
"proposal21_1",1,"voter5","AB",5,"one"
"proposal21_1",1,"voter6","AB",5,"one"
"proposal21_1",1,"voter7","B",4,"one"
"proposal21_1",1,"voter8","AB",5,"one"
"proposal21_1",1,"voter9","AB",5,"one"
"proposal22_1",1,"voter1","AB",5,"one"
"proposal22_1",1,"voter3","AB",5,"one"
"proposal22_1",1,"voter4","B",4,"one"
"proposal22_1",1,"voter5","B",4,"one"
"proposal22_1",1,"voter6","AB",5,"one"
"proposal22_1",1,"voter7","AB",5,"one"
"proposal22_1",1,"voter8","AB",5,"one"
"proposal22_1",1,"voter9","B",4,"one"
"proposal23_1",1,"voter1","AB",5,"one"
"proposal23_1",1,"voter2","B",4,"one"
"proposal23_1",1,"voter3","B",4,"one"
"proposal23_1",1,"voter4","B",4,"one"
"proposal23_1",1,"voter5","AB",5,"one"
"proposal23_1",1,"voter6","AB",5,"one"
"proposal23_1",1,"voter7","AB",5,"one"
"proposal23_1",1,"voter8","AB",5,"one"
"proposal23_1",1,"voter9","B",4,"one"
"proposal24_1",1,"voter1","AB",5,"one"
"proposal24_1",1,"voter2","B",4,"one"
"proposal24_1",1,"voter3","B",4,"one"
"proposal24_1",1,"voter4","B",4,"one"
"proposal24_1",1,"voter5","AB",5,"one"
"proposal24_1",1,"voter6","AB",5,"one"
"proposal24_1",1,"voter7","B",4,"one"
"proposal24_1",1,"voter8","AB",5,"one"
"proposal24_1",1,"voter9","AB",5,"one"
"proposal25_1",1,"voter1","AB",5,"one"
"proposal25_1",1,"voter2","B",4,"one"
"proposal25_1",1,"voter3","AB",5,"one"
"proposal25_1",1,"voter4","B",4,"one"
"proposal25_1",1,"voter5","B",4,"one"
"proposal25_1",1,"voter6","AB",5,"one"
"proposal25_1",1,"voter7","B",4,"one"
"proposal25_1",1,"voter9","AB",5,"one"
"proposal26_1",1,"voter1","AB",5,"one"
"proposal26_1",1,"voter2","B",4,"one"
"proposal26_1",1,"voter3","B",4,"one"
"proposal26_1",1,"voter4","B",4,"one"
"proposal26_1",1,"voter5","AB",5,"one"
"proposal26_1",1,"voter6","AB",5,"one"
"proposal26_1",1,"voter7","AB",5,"one"
"proposal26_1",1,"voter8","B",4,"one"
"proposal26_1",1,"voter9","B",4,"one"
"proposal27_1",1,"voter3","AB",5,"one"
"proposal27_1",1,"voter4","B",4,"one"
"proposal27_1",1,"voter5","B",4,"one"
"proposal27_1",1,"voter6","B",4,"one"
"proposal27_1",1,"voter7","AB",5,"one"
"proposal27_1",1,"voter8","AB",5,"one"
"proposal27_1",1,"voter9","B",4,"one"
"proposal28_1",1,"voter2","B",4,"one"
"proposal28_1",1,"voter3","B",4,"one"
"proposal28_1",1,"voter4","AB",5,"one"
"proposal28_1",1,"voter5","B",4,"one"
"proposal28_1",1,"voter6","AB",5,"one"
"proposal28_1",1,"voter7","B",4,"one"
"proposal28_1",1,"voter8","B",4,"one"
"proposal28_1",1,"voter9","AB",5,"one"
"proposal29_1",1,"voter2","B",4,"one"
"proposal29_1",1,"voter3","AB",5,"one"
"proposal29_1",1,"voter4","AB",5,"one"
"proposal29_1",1,"voter5","AB",5,"one"
"proposal29_1",1,"voter6","B",4,"one"
"proposal29_1",1,"voter7","B",4,"one"
"proposal29_1",1,"voter8","B",4,"one"
"proposal29_1",1,"voter9","B",4,"one"
"proposal30_1",1,"voter1","AB",5,"one"
"proposal30_1",1,"voter2","AB",5,"one"
"proposal30_1",1,"voter3","B",4,"one"
"proposal30_1",1,"voter5","B",4,"one"
"proposal30_1",1,"voter6","B",4,"one"
"proposal30_1",1,"voter7","B",4,"one"
"proposal30_1",1,"voter8","B",4,"one"
"proposal30_1",1,"voter9","AB",5,"one"
"proposal31_1",0,"voter1","AB",5,"one"
"proposal31_1",0,"voter2","B",4,"one"
"proposal31_1",0,"voter3","B",4,"one"
"proposal31_1",0,"voter4","AB",5,"one"
"proposal31_1",0,"voter5","B",4,"one"
"proposal31_1",0,"voter6","B",4,"one"
"proposal31_1",0,"voter7","AB",5,"one"
"proposal31_1",0,"voter8","B",4,"one"
"proposal32_1",0,"voter1","B",4,"one"
"proposal32_1",0,"voter2","B",4,"one"
"proposal32_1",0,"voter3","AB",5,"one"
"proposal32_1",0,"voter4","AB",5,"one"
"proposal32_1",0,"voter5","B",4,"one"
"proposal32_1",0,"voter6","AB",5,"one"
"proposal32_1",0,"voter7","B",4,"one"
"proposal32_1",0,"voter8","B",4,"one"
"proposal32_1",0,"voter9","B",4,"one"
"proposal33_1",0,"voter1","B",4,"one"
"proposal33_1",0,"voter2","B",4,"one"
"proposal33_1",0,"voter3","B",4,"one"
"proposal33_1",0,"voter4","B",4,"one"
"proposal33_1",0,"voter5","AB",5,"one"
"proposal33_1",0,"voter6","AB",5,"one"
"proposal33_1",0,"voter7","B",4,"one"
"proposal33_1",0,"voter8","B",4,"one"
"proposal33_1",0,"voter9","AB",5,"one"
"proposal34_1",0,"voter1","B",4,"one"
"proposal34_1",0,"voter2","B",4,"one"
"proposal34_1",0,"voter3","B",4,"one"
"proposal34_1",0,"voter4","AB",5,"one"
"proposal34_1",0,"voter5","B",4,"one"
"proposal34_1",0,"voter8","AB",5,"one"
"proposal35_1",0,"voter1","B",4,"one"
"proposal35_1",0,"voter3","B",4,"one"
"proposal35_1",0,"voter4","B",4,"one"
"proposal35_1",0,"voter5","B",4,"one"
"proposal35_1",0,"voter8","AB",5,"one"
"proposal35_1",0,"voter9","B",4,"one"
"proposal36_1",0,"voter2","B",4,"one"
"proposal36_1",0,"voter3","AB",5,"one"
"proposal36_1",0,"voter4","B",4,"one"
"proposal36_1",0,"voter5","B",4,"one"
"proposal36_1",0,"voter6","B",4,"one"
"proposal36_1",0,"voter7","B",4,"one"
"proposal36_1",0,"voter8","B",4,"one"
"proposal37_1",0,"voter1","B",4,"one"
"proposal37_1",0,"voter2","B",4,"one"
"proposal37_1",0,"voter3","B",4,"one"
"proposal37_1",0,"voter5","B",4,"one"
"proposal37_1",0,"voter6","B",4,"one"
"proposal37_1",0,"voter7","AB",5,"one"
"proposal37_1",0,"voter8","B",4,"one"
"proposal37_1",0,"voter9","B",4,"one"
"proposal38_1",0,"voter1","B",4,"one"
"proposal38_1",0,"voter2","B",4,"one"
"proposal38_1",0,"voter3","B",4,"one"
"proposal38_1",0,"voter4","B",4,"one"
"proposal38_1",0,"voter5","AB",5,"one"
"proposal38_1",0,"voter6","BC",3,"one"
"proposal38_1",0,"voter7","AB",5,"one"
"proposal38_1",0,"voter8","B",4,"one"
"proposal38_1",0,"voter9","B",4,"one"
"proposal39_1",0,"voter1","B",4,"one"
"proposal39_1",0,"voter2","B",4,"one"
"proposal39_1",0,"voter3","B",4,"one"
"proposal39_1",0,"voter4","B",4,"one"
"proposal39_1",0,"voter5","AB",5,"one"
"proposal39_1",0,"voter6","B",4,"one"
"proposal39_1",0,"voter7","B",4,"one"
"proposal39_1",0,"voter8","B",4,"one"
"proposal39_1",0,"voter9","B",4,"one"
"proposal40_1",0,"voter1","B",4,"one"
"proposal40_1",0,"voter3","B",4,"one"
"proposal40_1",0,"voter4","B",4,"one"
"proposal40_1",0,"voter5","B",4,"one"
"proposal40_1",0,"voter6","B",4,"one"
"proposal40_1",0,"voter7","B",4,"one"
"proposal40_1",0,"voter8","B",4,"one"
"proposal40_1",0,"voter9","B",4,"one"
"proposal41_1",0,"voter1","B",4,"one"
"proposal41_1",0,"voter2","B",4,"one"
"proposal41_1",0,"voter3","B",4,"one"
"proposal41_1",0,"voter5","B",4,"one"
"proposal41_1",0,"voter6","B",4,"one"
"proposal41_1",0,"voter7","B",4,"one"
"proposal41_1",0,"voter8","B",4,"one"
"proposal41_1",0,"voter9","B",4,"one"
"proposal42_1",0,"voter1","BC",3,"one"
"proposal42_1",0,"voter3","B",4,"one"
"proposal42_1",0,"voter4","B",4,"one"
"proposal42_1",0,"voter5","B",4,"one"
"proposal42_1",0,"voter6","B",4,"one"
"proposal42_1",0,"voter7","B",4,"one"
"proposal42_1",0,"voter8","AB",5,"one"
"proposal42_1",0,"voter9","B",4,"one"
"proposal43_1",0,"voter1","B",4,"one"
"proposal43_1",0,"voter2","B",4,"one"
"proposal43_1",0,"voter3","B",4,"one"
"proposal43_1",0,"voter4","B",4,"one"
"proposal43_1",0,"voter5","B",4,"one"
"proposal43_1",0,"voter6","B",4,"one"
"proposal43_1",0,"voter7","BC",3,"one"
"proposal43_1",0,"voter8","B",4,"one"
