dataset,k_name,k,n,r_min,L_ref,mechanism,item_idx,review_col,direction,tick,input_delta,l1_prob_change,max_prob_change,local_sensitivity,expected_regret,expected_regret_per_k,interval_shift_score
Beta,k10pct,20,200,5,0.2,MERIT,8,1,1,0.1111111111111111,0.111111111111111,1.0,0.5,9.000000000000005,0.0102523795126217,0.000512618975631,0.06137550319674
Beta,k10pct,20,200,5,0.2,Randomized Threshold,18,3,1,0.1111111111111111,0.111111111111111,1.0,0.5,9.000000000000005,0.0146701234872459,0.0007335061743622,0.0570385351519513
Beta,k10pct,20,200,5,0.2,Swiss NSF,133,0,-1,0.1111111111111111,0.111111111111111,2.666666666666667,0.6666666666666667,24.000000000000018,0.0,0.0,0.0688131412006491
Beta,k33pct,67,200,5,0.2,MERIT,125,2,-1,0.1111111111111111,0.111111111111111,2.0,0.5,18.00000000000001,0.0293585828449352,0.0004381878036557,0.0749442259370692
Beta,k33pct,67,200,5,0.2,Randomized Threshold,72,1,1,0.1111111111111111,0.111111111111111,1.0,0.5,9.000000000000005,0.0794528785440249,0.001185863858866,0.0736237857086907
Beta,k33pct,67,200,5,0.2,Swiss NSF,34,0,1,0.1111111111111111,0.1111111111111111,1.8928571428571428,0.625,17.035714285714278,0.0188487955255851,0.000281325306352,0.0777777777777777
Beta,k50pct,100,200,5,0.2,MERIT,47,1,-1,0.1111111111111111,0.1111111111111111,0.7781818181818192,0.3672727272727274,7.003636363636373,0.032414631394559,0.0003241463139455,0.0777777777777778
Beta,k50pct,100,200,5,0.2,Randomized Threshold,35,4,-1,0.1111111111111111,0.1111111111111111,1.0,0.5,9.0,0.1950882512019092,0.001950882512019,0.0777777777777777
Beta,k50pct,100,200,5,0.2,Swiss NSF,5,0,-1,0.1111111111111111,0.1111111111111111,3.111111111111111,0.5555555555555556,28.000000000000004,0.0235364562614677,0.0002353645626146,0.0777777777777778
ICLR,k10pct,371,3710,3,0.3333333333333333,MERIT,2251,0,-1,0.1111111111111111,0.111111111111111,0.6289423631304596,0.3144711815652506,5.66048126817414,7.86763214935155,0.0212065556586295,0.0777777777777776
ICLR,k10pct,371,3710,3,0.3333333333333333,Randomized Threshold,44,3,1,0.1111111111111111,0.1111111111111111,47.0,0.5,422.99999999999983,0.2867724867725769,0.0007729716624597,0.0777777777777779
ICLR,k10pct,371,3710,3,0.3333333333333333,Swiss NSF,58,1,1,0.1111111111111111,0.111111111111111,1.0632411067193623,0.5316205533596838,9.569169960474266,5.847142229750943,0.0157604911853125,0.1481481481481481
ICLR,k33pct,1237,3710,3,0.3333333333333333,MERIT,330,0,1,0.1111111111111111,0.1111111111111111,0.6043516456965985,0.0007492886788339,5.439164811269384,22.970301393411432,0.0185693624845686,0.1481481481481481
ICLR,k33pct,1237,3710,3,0.3333333333333333,Randomized Threshold,444,0,-1,0.1111111111111111,0.111111111111111,12.0,1.0,108.00000000000006,0.4000000000005457,0.0003233629749398,0.0777777777777778
ICLR,k33pct,1237,3710,3,0.3333333333333333,Swiss NSF,2014,1,1,0.1111111111111111,0.111111111111111,1.268112109994712,0.634056054997356,11.413008989952411,26.395561683161304,0.0213383683776566,0.101851851851852
ICLR,k50pct,1855,3710,3,0.3333333333333333,MERIT,979,0,1,0.1111111111111111,0.1111111111111111,1.2619134875379752,0.5043263103441301,11.357221387841772,14.022562977284906,0.0075593331413934,0.1018518518518518
ICLR,k50pct,1855,3710,3,0.3333333333333333,Randomized Threshold,1854,0,1,0.1111111111111111,0.1111111111111111,115.0,0.5,1034.9999999999995,1.4644179894173703,0.0007894436600632,0.1018518518518518
ICLR,k50pct,1855,3710,3,0.3333333333333333,Swiss NSF,32,1,-1,0.1111111111111111,0.1111111111111111,1.1291642314434736,0.5645821157218002,10.162478082991262,21.17913841034806,0.0114173252885973,0.0777777777777779
NeurIPS,k10pct,403,4034,3,0.3333333333333333,MERIT,2034,0,-1,0.1111111111111111,0.111111111111111,0.6421234101876605,0.3210617050938015,5.779110691688948,8.537134813765078,0.0211839573542557,0.1018518518518516
NeurIPS,k10pct,403,4034,3,0.3333333333333333,Randomized Threshold,4033,2,1,0.1111111111111111,0.1111111111111111,50.0,0.5,449.9999999999998,0.0787037037036952,0.0001952945501332,0.1018518518518519
NeurIPS,k10pct,403,4034,3,0.3333333333333333,Swiss NSF,771,0,1,0.1111111111111111,0.111111111111111,1.2651933701657685,0.6325966850828729,11.386740331491922,8.703146101902973,0.0215958960344986,0.1481481481481482
NeurIPS,k33pct,1345,4034,3,0.3333333333333333,MERIT,311,0,1,0.1111111111111111,0.1111111111111111,20.78791344817664,0.8456322807247094,187.09122103358968,22.69317372762225,0.0168722481246262,0.0777777777777777
NeurIPS,k33pct,1345,4034,3,0.3333333333333333,Randomized Threshold,0,0,-1,0.1111111111111111,0.111111111111111,100.0,1.0,900.0000000000005,1.2259259259258215,0.0009114690899076,0.148148148148148
NeurIPS,k33pct,1345,4034,3,0.3333333333333333,Swiss NSF,610,3,1,0.1111111111111111,0.111111111111111,1.170059880239433,0.5850299401197605,10.530538922154904,19.36321579064133,0.0143964429670195,0.1018518518518519
NeurIPS,k50pct,2017,4034,3,0.3333333333333333,MERIT,212,0,-1,0.1111111111111111,0.1111111111111111,205.87790357673435,0.5357873210633941,1852.9011321906091,24.514414245162016,0.0121538989812404,0.0925925925925926
NeurIPS,k50pct,2017,4034,3,0.3333333333333333,Randomized Threshold,0,0,-1,0.1111111111111111,0.111111111111111,159.0,0.5,1431.000000000001,1.3407407407403298,0.0006647202482599,0.148148148148148
NeurIPS,k50pct,2017,4034,3,0.3333333333333333,Swiss NSF,209,1,-1,0.1111111111111111,0.111111111111111,1.144537815126243,0.5722689075630252,10.300840336136194,33.177329598507185,0.0164488495778419,0.0777777777777779
Swiss NSF,k10pct,35,353,5,0.2,MERIT,14,3,1,0.2,0.1999999999999999,0.9411764705882356,0.4705882352941177,4.705882352941179,0.0601167133520057,0.0017176203814858,0.0952380952380953
Swiss NSF,k10pct,35,353,5,0.2,Randomized Threshold,34,0,1,0.2,0.1999999999999999,4.0,0.5,20.000000000000004,0.0297222222222224,0.0008492063492063,0.061904761904762
Swiss NSF,k10pct,35,353,5,0.2,Swiss NSF,3,3,1,0.2,0.1999999999999999,3.734265734265734,0.9230769230769232,18.671328671328677,0.0312626262626203,0.0008932178932177,0.0821428571428571
Swiss NSF,k33pct,118,353,5,0.2,MERIT,88,2,1,0.2,0.2,1.999999999999996,0.5714285714285712,9.999999999999975,0.0510770975056686,0.0004328567585226,0.0821428571428571
Swiss NSF,k33pct,118,353,5,0.2,Randomized Threshold,0,0,1,0.2,0.1999999999999999,2.0,0.5,10.000000000000002,0.1077380952380906,0.0009130347054075,0.061904761904762
Swiss NSF,k33pct,118,353,5,0.2,Swiss NSF,63,2,1,0.2,0.2,1.047619047619047,0.5238095238095238,5.238095238095234,0.0704081632652986,0.0005966793497059,0.0722222222222223
Swiss NSF,k50pct,176,353,5,0.2,MERIT,165,2,-1,0.2,0.2,1.4054807036145074,0.5637319316688568,7.0274035180725365,0.1884498258348514,0.0010707376467889,0.082142857142857
Swiss NSF,k50pct,176,353,5,0.2,Randomized Threshold,185,0,-1,0.2,0.2,7.0,0.5,35.0,0.258531746031764,0.0014689303751804,0.0952380952380952
Swiss NSF,k50pct,176,353,5,0.2,Swiss NSF,152,1,1,0.2,0.2,4.285714285714287,0.4285714285714285,21.428571428571423,0.1623582766439995,0.0009224902082045,0.1133333333333334
