epsilon,near_uniform_p1_linear,near_uniform_p1_softmax,near_uniform_delta_p1_linear,near_uniform_delta_p1_softmax,worst_case_delta_pk_linear,worst_case_delta_pk_softmax,worst_case_pk_linear,worst_case_pk_softmax,edge_delta_pk_linear,edge_delta_pk_softmax,edge_pk_linear,edge_pk_softmax,n,k,L_utility,u0,D_v,summary_csv_L,B_linear_worst,B_softmax_worst,theorem_bound_linear,theorem_bound_softmax,softmax_samples
0.0,0.10000000000000002,0.10072,0.0,0.0,0.0,0.0,0.3025,0.15234,0.0,0.0,0.5499999999999996,0.27862,100,10,1.0,0.0,1.0,0.2,0.5,0.5,1.0,1.0,50000
0.05,0.12475000000000001,0.10652,0.024749999999999994,0.0058,0.024749999999999994,0.010440000000000005,0.32725,0.16278,-0.024749999999999606,-0.014559999999999962,0.52525,0.26406,100,10,1.0,0.0,1.0,0.2,0.5,0.5,1.0,1.0,50000
0.1,0.14949999999999994,0.11334,0.04949999999999992,0.012619999999999992,0.04949999999999988,0.02038000000000001,0.35199999999999987,0.17272,-0.04949999999999932,-0.029779999999999973,0.5005000000000003,0.24884,100,10,1.0,0.0,1.0,0.2,0.5,0.5,1.0,1.0,50000
0.15000000000000002,0.17425000000000002,0.12052,0.07425,0.019799999999999998,0.07425000000000015,0.03159999999999999,0.37675000000000014,0.18394,-0.07424999999999976,-0.04381999999999997,0.47574999999999984,0.2348,100,10,1.0,0.0,1.0,0.2,0.5,0.5,1.0,1.0,50000
0.2,0.199,0.12876,0.09899999999999999,0.02804000000000001,0.0989999999999997,0.043399999999999994,0.4014999999999997,0.19574,-0.09899999999999959,-0.057479999999999976,0.451,0.22114,100,10,1.0,0.0,1.0,0.2,0.5,0.5,1.0,1.0,50000
0.25,0.22374999999999992,0.13724,0.1237499999999999,0.03652,0.12375000000000003,0.055379999999999985,0.42625,0.20772,-0.12374999999999958,-0.07081999999999997,0.42625,0.2078,100,10,1.0,0.0,1.0,0.2,0.5,0.5,1.0,1.0,50000
0.30000000000000004,0.24849999999999997,0.14604,0.14849999999999997,0.04532,0.14850000000000002,0.06902,0.451,0.22136,-0.1484999999999999,-0.08323999999999998,0.4014999999999997,0.19538,100,10,1.0,0.0,1.0,0.2,0.5,0.5,1.0,1.0,50000
0.35000000000000003,0.27325,0.15576,0.17324999999999996,0.055040000000000006,0.1732499999999999,0.08288000000000001,0.4757499999999999,0.23522,-0.17324999999999946,-0.09441999999999998,0.37675000000000014,0.1842,100,10,1.0,0.0,1.0,0.2,0.5,0.5,1.0,1.0,50000
0.4,0.2979999999999998,0.1657,0.1979999999999998,0.06497999999999998,0.1980000000000003,0.09703999999999999,0.5005000000000003,0.24938,-0.19799999999999973,-0.10521999999999998,0.35199999999999987,0.1734,100,10,1.0,0.0,1.0,0.2,0.5,0.5,1.0,1.0,50000
0.45,0.3227500000000002,0.17544,0.22275000000000017,0.07472000000000001,0.22275,0.11254,0.52525,0.26488,-0.22274999999999961,-0.11509999999999998,0.32725,0.16352,100,10,1.0,0.0,1.0,0.2,0.5,0.5,1.0,1.0,50000
0.5,0.34750000000000003,0.18636,0.2475,0.08564,0.2474999999999996,0.12718,0.5499999999999996,0.27952,-0.2474999999999996,-0.12451999999999999,0.3025,0.1541,100,10,1.0,0.0,1.0,0.2,0.5,0.5,1.0,1.0,50000
0.0,0.10000000000000002,0.0984,0.0,0.0,0.0,0.0,0.5054945054945056,0.19296,0.0,0.0,1.0,0.55072,100,10,2.0,0.0,1.0,0.4,0.5,0.5,2.0,2.0,50000
0.05,0.14949999999999994,0.11152,0.04949999999999992,0.013119999999999993,0.049450549450549275,0.02350000000000002,0.5549450549450549,0.21646,-0.04945054945054972,-0.047599999999999976,0.9505494505494503,0.50312,100,10,2.0,0.0,1.0,0.4,0.5,0.5,2.0,2.0,50000
0.1,0.199,0.12772,0.09899999999999999,0.02932,0.09890109890109888,0.050820000000000004,0.6043956043956045,0.24378,-0.09890109890109888,-0.09054000000000001,0.9010989010989011,0.46018,100,10,2.0,0.0,1.0,0.4,0.5,0.5,2.0,2.0,50000
0.15000000000000002,0.24849999999999997,0.14578,0.14849999999999997,0.04737999999999999,0.14835164835164816,0.08048000000000002,0.6538461538461537,0.27344,-0.1483516483516487,-0.13301999999999997,0.8516483516483513,0.4177,100,10,2.0,0.0,1.0,0.4,0.5,0.5,2.0,2.0,50000
0.2,0.2979999999999998,0.16468,0.1979999999999998,0.06627999999999999,0.19780219780219765,0.11254,0.7032967032967032,0.3055,-0.19780219780219777,-0.17253999999999997,0.8021978021978022,0.37818,100,10,2.0,0.0,1.0,0.4,0.5,0.5,2.0,2.0,50000
0.25,0.34750000000000003,0.186,0.2475,0.0876,0.24725274725274682,0.14837999999999998,0.7527472527472524,0.34134,-0.2472527472527476,-0.21111999999999997,0.7527472527472524,0.3396,100,10,2.0,0.0,1.0,0.4,0.5,0.5,2.0,2.0,50000
