mechanism,n,k,theorem_bound,L,B,eps,direction,mc_samples,quotient,best_empirical_L,ratio_empirical_to_targetL
linear,100,10,1.0,0.2,0.7,0.001,-1,0,0.9900000000072351,0.19800000000144702,0.9900000000072351
linear,100,10,2.0,0.4,0.1,0.001,1,0,1.978021978028918,0.39560439560578364,0.989010989014459
linear,100,10,3.0,0.6,0.5,0.001,-1,0,2.967032967039634,0.5934065934079268,0.9890109890132113
linear,100,10,4.0,0.8,0.1,0.001,1,0,3.956043956056629,0.7912087912113258,0.9890109890141573
linear,100,10,5.0,1.0,0.3,0.001,-1,0,4.945054945059268,0.9890109890118536,0.9890109890118536
linear,100,33,1.0,0.2,0.5,0.001,1,0,0.9900000000299392,0.19800000000598783,0.9900000000299392
linear,100,33,2.0,0.4,0.1,0.001,1,0,1.9705882353541169,0.39411764707082336,0.9852941176770584
linear,100,33,3.0,0.6,0.3,0.001,1,0,2.9558823529633287,0.5911764705926658,0.9852941176544429
linear,100,33,4.0,0.8,0.1,0.001,-1,0,3.941176470640864,0.7882352941281728,0.985294117660216
linear,100,33,5.0,1.0,0.1,0.005,-1,0,4.926470588244225,0.985294117648845,0.985294117648845
linear,100,50,1.0,0.2,0.3,0.001,-1,0,0.9900000000248599,0.19800000000497198,0.9900000000248599
linear,100,50,2.0,0.4,1.0,0.001,-1,0,1.9607843137465375,0.3921568627493075,0.9803921568732687
linear,100,50,3.0,0.6,0.3,0.001,-1,0,2.941176470632332,0.5882352941264664,0.980392156877444
linear,100,50,4.0,0.8,0.3,0.001,-1,0,3.9215686274759847,0.784313725495197,0.9803921568689962
linear,100,50,5.0,1.0,0.3,0.001,-1,0,4.901960784322411,0.9803921568644822,0.9803921568644822
softmax,100,10,1.0,0.2,1.0,0.04,-1,50000,0.5999999999999988,0.11999999999999975,0.5999999999999988
softmax,100,10,2.0,0.4,1.0,0.02,-1,50000,1.7700000000000178,0.35400000000000353,0.8850000000000089
softmax,100,10,3.0,0.6,0.75,0.01,-1,50000,2.4560000000000053,0.4912000000000011,0.8186666666666684
softmax,100,10,4.0,0.8,0.75,0.02,1,50000,3.4519999999999995,0.6903999999999999,0.8629999999999999
softmax,100,10,5.0,1.0,0.75,0.02,-1,50000,3.575999999999994,0.7151999999999987,0.7151999999999987
softmax,100,33,1.0,0.2,0.95,0.02,1,50000,0.9579999999999741,0.19159999999999483,0.9579999999999741
softmax,100,33,2.0,0.4,0.75,0.01,1,50000,1.8920000000000117,0.37840000000000235,0.9460000000000058
softmax,100,33,3.0,0.6,0.75,0.01,1,50000,2.819999999999946,0.5639999999999892,0.9399999999999821
softmax,100,33,4.0,0.8,0.75,0.02,-1,50000,3.66199999999999,0.732399999999998,0.9154999999999975
softmax,100,33,5.0,1.0,0.75,0.02,1,50000,3.158000000000001,0.6316000000000002,0.6316000000000002
softmax,100,50,1.0,0.2,0.75,0.01,-1,50000,1.0040000000000826,0.20080000000001652,1.0040000000000826
softmax,100,50,2.0,0.4,0.75,0.01,-1,50000,1.948000000000008,0.3896000000000016,0.974000000000004
softmax,100,50,3.0,0.6,0.75,0.01,1,50000,2.943999999999932,0.5887999999999864,0.9813333333333106
softmax,100,50,4.0,0.8,0.75,0.01,1,50000,3.2440000000000473,0.6488000000000095,0.8110000000000118
softmax,100,50,5.0,1.0,0.5,0.01,-1,50000,3.3799999999999746,0.6759999999999949,0.6759999999999949
linear,1000,100,1.0,0.2,0.5,0.001,-1,0,0.9990000000775767,0.19980000001551534,0.9990000000775767
linear,1000,100,2.0,0.4,0.3,0.001,1,0,1.9977802441996328,0.39955604883992657,0.9988901220998164
linear,1000,100,3.0,0.6,0.3,0.001,-1,0,2.996670366299702,0.5993340732599404,0.9988901220999007
linear,1000,100,4.0,0.8,0.1,0.001,1,0,3.9955604883964155,0.7991120976792832,0.9988901220991039
linear,1000,100,5.0,1.0,0.1,0.001,-1,0,4.994450610507543,0.9988901221015085,0.9988901221015085
linear,1000,333,1.0,0.2,0.5,0.001,-1,0,0.9990000001431909,0.19980000002863818,0.9990000001431909
linear,1000,333,2.0,0.4,0.9,0.001,1,0,1.997005988167797,0.3994011976335594,0.9985029940838985
linear,1000,333,3.0,0.6,0.3,0.001,1,0,2.995508982131208,0.5991017964262416,0.998502994043736
linear,1000,333,4.0,0.8,0.3,0.001,-1,0,3.9940119761311292,0.7988023952262259,0.9985029940327823
linear,1000,333,5.0,1.0,0.3,0.001,-1,0,4.992514970131455,0.9985029940262911,0.9985029940262911
linear,1000,500,1.0,0.2,0.3,0.001,-1,0,0.9990000001804389,0.19980000003608778,0.9990000001804389
linear,1000,500,2.0,0.4,0.1,0.001,-1,0,1.9960079840652027,0.39920159681304057,0.9980039920326014
linear,1000,500,3.0,0.6,0.5,0.001,1,0,2.994011976069328,0.5988023952138656,0.9980039920231093
linear,1000,500,4.0,0.8,0.1,0.001,-1,0,3.992015968073815,0.7984031936147631,0.9980039920184538
linear,1000,500,5.0,1.0,0.1,0.001,1,0,4.990019960077816,0.9980039920155631,0.9980039920155631
softmax,1000,100,1.0,0.2,1.0,0.01,-1,50000,0.547999999999997,0.1095999999999994,0.547999999999997
softmax,1000,100,2.0,0.4,1.0,0.01,-1,50000,1.916000000000003,0.3832000000000006,0.9580000000000015
softmax,1000,100,3.0,0.6,0.95,0.01,1,50000,2.8919999999999453,0.578399999999989,0.9639999999999818
softmax,1000,100,4.0,0.8,0.75,0.02,-1,50000,3.428000000000035,0.685600000000007,0.8570000000000088
softmax,1000,100,5.0,1.0,0.75,0.01,1,50000,4.643999999999965,0.928799999999993,0.928799999999993
softmax,1000,333,1.0,0.2,0.95,0.01,1,50000,1.0080000000000282,0.20160000000000564,1.0080000000000282
softmax,1000,333,2.0,0.4,0.75,0.01,-1,50000,1.9839999999999052,0.39679999999998106,0.9919999999999526
softmax,1000,333,3.0,0.6,0.75,0.02,1,50000,3.0239999999999574,0.6047999999999915,1.0079999999999858
softmax,1000,333,4.0,0.8,0.75,0.02,-1,50000,4.028000000000007,0.8056000000000013,1.0070000000000017
softmax,1000,333,5.0,1.0,0.75,0.01,-1,50000,4.707999999999945,0.941599999999989,0.941599999999989
softmax,1000,500,1.0,0.2,0.95,0.01,-1,50000,0.9599999999999553,0.19199999999999107,0.9599999999999553
softmax,1000,500,2.0,0.4,0.75,0.01,1,50000,2.0280000000000213,0.4056000000000043,1.0140000000000107
softmax,1000,500,3.0,0.6,0.75,0.01,1,50000,3.047999999999934,0.6095999999999868,1.015999999999978
softmax,1000,500,4.0,0.8,0.75,0.01,-1,50000,4.043999999999934,0.8087999999999868,1.0109999999999835
softmax,1000,500,5.0,1.0,0.75,0.01,1,50000,5.1359999999997985,1.0271999999999597,1.0271999999999597
