dataset,k_name,L,mechanism,local_smoothness,l1_prob_change,utility_delta_abs,k,ratio_to_L
Beta,k10pct,0.2,linear,0.1986111111111211,0.02206790123456902,0.022222222222222254,20,0.9930555555556054
Beta,k10pct,0.2,softmax,0.07080000000000054,0.00786666666666673,0.022222222222222254,20,0.3540000000000027
Beta,k10pct,0.4,linear,0.39607843137259297,0.044008714596954795,0.022222222222222254,20,0.9901960784314824
Beta,k10pct,0.4,softmax,0.18239999999999912,0.02026666666666658,0.022222222222222254,20,0.4559999999999978
Beta,k10pct,0.6,linear,0.5931034482758792,0.06590038314176438,0.022222222222222254,20,0.9885057471264654
Beta,k10pct,0.6,softmax,0.3425999999999991,0.03806666666666659,0.022222222222222254,20,0.5709999999999986
Beta,k10pct,0.8,linear,0.7891891891892197,0.08768768768769111,0.022222222222222254,20,0.9864864864865245
Beta,k10pct,0.8,softmax,0.47039999999999194,0.052266666666665795,0.022222222222222254,20,0.5879999999999899
Beta,k10pct,1.0,linear,0.9843750000000155,0.10937500000000178,0.022222222222222254,20,0.9843750000000155
Beta,k10pct,1.0,softmax,0.6306000000000012,0.07006666666666683,0.022222222222222254,20,0.6306000000000012
Beta,k33pct,0.2,linear,0.19900000000008516,0.022111111111120574,0.022222222222222254,67,0.9950000000004258
Beta,k33pct,0.2,softmax,0.16559999999999958,0.01839999999999996,0.022222222222222254,67,0.8279999999999978
Beta,k33pct,0.4,linear,0.39786096256684966,0.04420677361853887,0.022222222222222254,67,0.9946524064171242
Beta,k33pct,0.4,softmax,0.3480000000000002,0.03866666666666669,0.022222222222222254,67,0.8700000000000004
Beta,k33pct,0.6,linear,0.5961038961039916,0.06623376623377684,0.022222222222222254,67,0.9935064935066528
Beta,k33pct,0.6,softmax,0.5166000000000008,0.05740000000000012,0.022222222222222254,67,0.8610000000000014
Beta,k33pct,0.8,linear,0.7935483870967436,0.08817204301074932,0.022222222222222254,67,0.9919354838709294
Beta,k33pct,0.8,softmax,0.6605999999999999,0.07339999999999998,0.022222222222222254,67,0.8257499999999998
Beta,k33pct,1.0,linear,0.9909090909090817,0.11010101010100908,0.022222222222222254,67,0.9909090909090817
Beta,k33pct,1.0,softmax,0.8669999999999967,0.09633333333333295,0.022222222222222254,67,0.8669999999999967
Beta,k50pct,0.2,linear,0.1989999999999364,0.02211111111110403,0.022222222222222143,100,0.9949999999996819
Beta,k50pct,0.2,softmax,0.19140000000004195,0.021266666666671336,0.022222222222222254,100,0.9570000000002097
Beta,k50pct,0.4,linear,0.39800000000005736,0.044222222222228616,0.022222222222222143,100,0.9950000000001433
Beta,k50pct,0.4,softmax,0.3815999999999974,0.04239999999999969,0.022222222222222143,100,0.9539999999999934
Beta,k50pct,0.6,linear,0.5965517241379509,0.0662835249042168,0.022222222222222254,100,0.9942528735632515
Beta,k50pct,0.6,softmax,0.5669999999999986,0.06299999999999985,0.022222222222222254,100,0.9449999999999977
Beta,k50pct,0.8,linear,0.7942818713918318,0.08825354126575913,0.022222222222222143,100,0.9928523392397898
Beta,k50pct,0.8,softmax,0.7451999999999929,0.08279999999999925,0.022222222222222143,100,0.931499999999991
