dataset,k_name,rank_target,mechanism,item_idx,review_col,k,L,tick,l11_delta,utility_before,utility_after,utility_delta_abs,l1_prob_change,local_smoothness,softmax_search_samples,softmax_search_reps,softmax_final_samples,softmax_final_reps
Beta,k10pct,k,linear,194,0,20,0.2,0.1111111111111111,0.11111111111111116,0.7715801495732553,0.7938023717954775,0.022222222222222254,0.022067901234568907,0.19861111111112006,0,0,0,0
Beta,k10pct,k,softmax,194,0,20,0.2,0.1111111111111111,0.11111111111111116,0.7715801495732553,0.7938023717954775,0.022222222222222254,0.00786666666666673,0.07080000000000054,800,2,10000,3
Beta,k10pct,k+1,linear,8,0,20,0.2,0.1111111111111111,0.11111111111111116,0.7599589493773541,0.7821811715995763,0.022222222222222254,0.02206790123456902,0.1986111111111211,0,0,0,0
Beta,k10pct,k+1,softmax,8,0,20,0.2,0.1111111111111111,0.11111111111111116,0.7599589493773541,0.7821811715995763,0.022222222222222254,0.007600000000000014,0.0684000000000001,800,2,10000,3
Beta,k10pct,k,linear,194,0,20,0.4,0.1111111111111111,0.11111111111111116,0.7715801495732553,0.7938023717954775,0.022222222222222254,0.04400871459695474,0.39607843137259247,0,0,0,0
Beta,k10pct,k,softmax,194,0,20,0.4,0.1111111111111111,0.11111111111111116,0.7715801495732553,0.7938023717954775,0.022222222222222254,0.02026666666666658,0.18239999999999912,800,2,10000,3
Beta,k10pct,k+1,linear,8,0,20,0.4,0.1111111111111111,0.11111111111111116,0.7599589493773541,0.7821811715995763,0.022222222222222254,0.044008714596954795,0.39607843137259297,0,0,0,0
Beta,k10pct,k+1,softmax,8,0,20,0.4,0.1111111111111111,0.11111111111111116,0.7599589493773541,0.7377367271551318,0.022222222222222254,0.01986666666666667,0.17879999999999996,800,2,10000,3
Beta,k10pct,k,linear,194,0,20,0.6,0.1111111111111111,0.11111111111111116,0.7715801495732553,0.749357927351033,0.022222222222222254,0.06590038314176438,0.5931034482758792,0,0,0,0
Beta,k10pct,k,softmax,194,0,20,0.6,0.1111111111111111,0.11111111111111116,0.7715801495732553,0.749357927351033,0.022222222222222254,0.03453333333333333,0.31079999999999985,800,2,10000,3
Beta,k10pct,k+1,linear,8,0,20,0.6,0.1111111111111111,0.11111111111111116,0.7599589493773541,0.7377367271551318,0.022222222222222254,0.06590038314176438,0.5931034482758792,0,0,0,0
Beta,k10pct,k+1,softmax,8,0,20,0.6,0.1111111111111111,0.11111111111111116,0.7599589493773541,0.7821811715995763,0.022222222222222254,0.03806666666666659,0.3425999999999991,800,2,10000,3
Beta,k10pct,k,linear,194,0,20,0.8,0.1111111111111111,0.11111111111111116,0.7715801495732553,0.749357927351033,0.022222222222222254,0.08768768768768895,0.7891891891892002,0,0,0,0
Beta,k10pct,k,softmax,194,0,20,0.8,0.1111111111111111,0.11111111111111116,0.7715801495732553,0.7938023717954775,0.022222222222222254,0.052266666666665795,0.47039999999999194,800,2,10000,3
Beta,k10pct,k+1,linear,8,0,20,0.8,0.1111111111111111,0.11111111111111116,0.7599589493773541,0.7821811715995763,0.022222222222222254,0.08768768768769111,0.7891891891892197,0,0,0,0
Beta,k10pct,k+1,softmax,8,0,20,0.8,0.1111111111111111,0.11111111111111116,0.7599589493773541,0.7821811715995763,0.022222222222222254,0.05113333333333318,0.4601999999999984,800,2,10000,3
Beta,k10pct,k,linear,194,0,20,1.0,0.1111111111111111,0.11111111111111116,0.7715801495732553,0.749357927351033,0.022222222222222254,0.10937500000000155,0.9843750000000135,0,0,0,0
Beta,k10pct,k,softmax,194,0,20,1.0,0.1111111111111111,0.11111111111111116,0.7715801495732553,0.749357927351033,0.022222222222222254,0.06513333333333345,0.5862000000000007,800,2,10000,3
Beta,k10pct,k+1,linear,8,0,20,1.0,0.1111111111111111,0.11111111111111116,0.7599589493773541,0.7377367271551318,0.022222222222222254,0.10937500000000178,0.9843750000000155,0,0,0,0
Beta,k10pct,k+1,softmax,8,0,20,1.0,0.1111111111111111,0.11111111111111116,0.7599589493773541,0.7821811715995763,0.022222222222222254,0.07006666666666683,0.6306000000000012,800,2,10000,3
Beta,k33pct,k,linear,34,0,67,0.2,0.1111111111111111,0.1111111111111111,0.5955029520887745,0.5732807298665522,0.022222222222222254,0.022111111111120574,0.19900000000008516,0,0,0,0
Beta,k33pct,k,softmax,34,0,67,0.2,0.1111111111111111,0.11111111111111116,0.5955029520887745,0.6177251743109966,0.022222222222222143,0.01839999999999996,0.16559999999999958,800,2,10000,3
