dataset,k_name,k,n,baseline_mechanism,baseline_regret,baseline_regret_per_k,baseline_smoothness,baseline_l1_prob_change,baseline_max_prob_change,linear_required_L,linear_regret_at_required_L,linear_regret_per_k_at_required_L,matched,smoothness_ratio_baseline_over_linear,log10_smoothness_ratio,linear_l1_prob_change_at_required_L,linear_max_prob_change_at_required_L,linear_local_sensitivity_at_required_L,linear_perturb_item_idx,linear_perturb_review_col,linear_perturb_direction
ICLR,k10pct,371,3710,MERIT,7.86763214935155,0.021206555658629514,5.66048126817414,0.6289423631304596,0.3144711815652506,3.576495856942058,7.867583305830863,0.02120642400493494,True,1.5826891724722731,0.1993956312648865,0.23822996253228054,0.1191149812661278,2.144069662790526,2251,0,-1
ICLR,k10pct,371,3710,Swiss NSF,5.847142229750943,0.015760491185312517,9.569169960474266,1.0632411067193623,0.5316205533596838,4.300111258269761,5.846545525179465,0.015758882817195324,True,2.225330784656167,0.34739457588922584,0.25129497119197763,0.12564748559595185,2.2616547407278,58,1,1
ICLR,k33pct,1237,3710,MERIT,22.970301393411432,0.01856936248456866,5.439164811269384,0.6043516456965985,0.0007492886788339,3.3188071902624534,22.96858966972468,0.018567978714409603,True,1.638891474993837,0.21455019617465368,0.3686307562604517,0.1843153781301145,3.317676806344064,330,0,1
ICLR,k33pct,1237,3710,Swiss NSF,26.395561683161304,0.021338368377656673,11.413008989952411,1.268112109994712,0.634056054997356,3.027924125019876,26.39547927641297,0.021338301759428434,True,3.7692519755188694,0.5762551711242064,0.2522412432496358,0.1261206216247942,2.2701711892467236,2014,1,1
ICLR,k50pct,1855,3710,MERIT,14.022562977284906,0.00755933314139348,11.357221387841772,1.2619134875379752,0.5043263103441301,4.940364141122334,14.02074962976144,0.0075583555955587274,True,2.29886321401031,0.36151313083089426,0.4115349263223748,0.20576746316124706,3.7038143369013716,979,0,1
ICLR,k50pct,1855,3710,Swiss NSF,21.17913841034806,0.011417325288597336,10.162478082991262,1.1291642314434736,0.5645821157218002,3.915134993398489,21.176918809095696,0.01141612873805698,True,2.5956903402122125,0.41425288090238005,0.2609184343276997,0.1304592171637872,2.348265908949297,32,1,-1
NeurIPS,k10pct,403,4034,MERIT,8.537134813765078,0.021183957354255777,5.779110691688948,0.6421234101876605,0.3210617050938015,3.8465092512126455,8.53666833127636,0.021182799829469877,True,1.502429947326146,0.1767942316238933,0.3203123281699546,0.16015616408494815,2.8828109535295927,2034,0,-1
NeurIPS,k10pct,403,4034,Swiss NSF,8.703146101902973,0.021595896034498692,11.386740331491922,1.2651933701657685,0.6325966850828729,3.7880517035093213,8.70294387114933,0.021595394221214217,True,3.0059622261604915,0.4779835188080639,0.4205924839503083,0.2102962419751534,3.785332355552777,771,0,1
NeurIPS,k33pct,1345,4034,MERIT,22.69317372762225,0.016872248124626208,187.09122103358968,20.78791344817664,0.8456322807247094,3.672325648600905,22.690889123610418,0.01687054953428284,True,50.946250124867966,1.7071122234747214,0.24474369151648717,0.1223718457580304,2.2026932236483834,311,0,1
NeurIPS,k33pct,1345,4034,Swiss NSF,19.36321579064133,0.014396442967019576,10.530538922154904,1.170059880239433,0.5850299401197605,4.0299370822699725,19.362860777729452,0.01439617901689922,True,2.6130777496464757,0.4171523319393762,0.33571592315865867,0.16785796157918675,3.0214433084279295,610,3,1
NeurIPS,k50pct,2017,4034,MERIT,24.514414245162016,0.012153898981240464,1852.9011321906091,205.87790357673435,0.5357873210633941,3.7746710562138936,24.512937217722538,0.012153166691979444,True,490.8775108072923,2.690973135672849,0.41927900518563943,0.20963950259277153,3.773511046670755,212,0,-1
NeurIPS,k50pct,2017,4034,Swiss NSF,33.177329598507185,0.016448849577841936,10.300840336136194,1.144537815126243,0.5722689075630252,3.0475317294974458,33.175236565820114,0.016447811881913788,True,3.3800600782702457,0.5289244196354559,0.20311296636688833,0.10155648318352856,1.828016697301996,209,1,-1
Swiss NSF,k10pct,35,353,MERIT,0.0601167133520057,0.0017176203814858772,4.705882352941179,0.9411764705882356,0.4705882352941177,5.939798163014133,0.060104632790690005,0.001717275222591143,True,0.7922630068886369,-0.10113062209841661,0.825290460951455,0.41264523047571655,4.126452304757276,14,3,1
Swiss NSF,k10pct,35,353,Swiss NSF,0.0312626262626203,0.000893217893217723,18.671328671328677,3.734265734265734,0.9230769230769232,9.36871345031696,0.03126050041620587,0.0008931571547487392,True,1.9929447912292582,0.29949526799472365,1.0978961074590252,0.5489480537295108,5.489480537295127,3,3,1
Swiss NSF,k33pct,118,353,MERIT,0.0510770975056686,0.00043285675852261523,9.999999999999975,1.999999999999996,0.5714285714285712,7.216797153320295,0.0510692511050479,0.0004327902636021008,True,1.3856562388481695,0.14165550149614659,0.8686885462330879,0.434344273116498,4.343442731165438,88,2,1
Swiss NSF,k33pct,118,353,Swiss NSF,0.0704081632652986,0.0005966793497059203,5.238095238095234,1.047619047619047,0.5238095238095238,5.935378735152467,0.07040743770618008,0.0005966732008998312,True,0.8825208081621565,-0.05427504598153793,0.6382772492625518,0.31913862463125753,3.191386246312758,63,2,1
Swiss NSF,k50pct,176,353,MERIT,0.1884498258348514,0.0010707376467889284,7.0274035180725365,1.4054807036145074,0.5637319316688568,4.426012144042389,0.18842802977147244,0.0010706138055197297,True,1.5877506182471137,0.20078229051913135,0.5416754708891188,0.27083773544453305,2.708377354445594,165,2,-1
Swiss NSF,k50pct,176,353,Swiss NSF,0.1623582766439995,0.0009224902082045426,21.428571428571423,4.285714285714287,0.4285714285714285,4.974910958964755,0.16234972727676222,0.0009224416322543308,True,4.307327629644765,0.6342079068996451,0.8111267867877372,0.40556339339386666,4.055633933938685,152,1,1
