k_name,alpha,beta,trial,n,r,k,L_multiplier,L,regret_linear,regret_softmax,regret_linear_per_k,regret_softmax_per_k
k10pct,1,1,0,200,5,20,1.0,0.2,2.9938307109250637,6.641082214582191,0.1496915355462532,0.33205411072910956
k10pct,1,1,0,200,5,20,2.0,0.4,1.9446784057922955,4.903749368093035,0.09723392028961478,0.24518746840465172
k10pct,1,1,1,200,5,20,1.0,0.2,3.3589290637695903,7.1631867840973396,0.1679464531884795,0.358159339204867
k10pct,1,1,1,200,5,20,2.0,0.4,2.144538614729452,5.357458037975457,0.1072269307364726,0.26787290189877283
k10pct,1,1,2,200,5,20,1.0,0.2,3.1553369671848603,6.922381134269356,0.157766848359243,0.3461190567134678
k10pct,1,1,2,200,5,20,2.0,0.4,2.0053627114759216,5.146866498204382,0.10026813557379607,0.2573433249102191
k10pct,1,1,3,200,5,20,1.0,0.2,3.137052296818492,7.099342442414331,0.1568526148409246,0.35496712212071657
k10pct,1,1,3,200,5,20,2.0,0.4,1.9440953358203004,5.159316822942532,0.09720476679101502,0.2579658411471266
k10pct,1,1,4,200,5,20,1.0,0.2,2.988292659875995,6.599014201347288,0.14941463299379976,0.3299507100673644
k10pct,1,1,4,200,5,20,2.0,0.4,1.845269185345927,4.862839991738499,0.09226345926729636,0.24314199958692492
k10pct,1,1,5,200,5,20,1.0,0.2,3.218256257163949,6.85187752450412,0.16091281285819745,0.342593876225206
k10pct,1,1,5,200,5,20,2.0,0.4,1.9535937963832524,5.1430895281495435,0.09767968981916261,0.2571544764074772
k10pct,1,1,6,200,5,20,1.0,0.2,2.9810649976603134,6.580755767256635,0.14905324988301566,0.32903778836283176
k10pct,1,1,6,200,5,20,2.0,0.4,1.8095282205828767,4.836042006761906,0.09047641102914383,0.2418021003380953
k10pct,1,1,7,200,5,20,1.0,0.2,3.224557646178809,6.6441342695307135,0.16122788230894045,0.3322067134765357
k10pct,1,1,7,200,5,20,2.0,0.4,2.066572960923388,5.061229211971005,0.1033286480461694,0.2530614605985503
k10pct,1,1,8,200,5,20,1.0,0.2,3.1143089793373857,6.436267374993557,0.15571544896686929,0.32181336874967786
k10pct,1,1,8,200,5,20,2.0,0.4,1.9576019145018684,4.8444090036108385,0.09788009572509342,0.24222045018054192
k10pct,1,1,9,200,5,20,1.0,0.2,3.29616590189147,6.919024681051738,0.1648082950945735,0.3459512340525869
k10pct,1,1,9,200,5,20,2.0,0.4,1.9081717933417401,5.173113139582547,0.09540858966708701,0.25865565697912735
k10pct,1,1,10,200,5,20,1.0,0.2,3.5076446291550596,7.049802956237583,0.17538223145775297,0.35249014781187915
k10pct,1,1,10,200,5,20,2.0,0.4,2.323841527699461,5.338081440294108,0.11619207638497304,0.2669040720147054
k10pct,1,1,11,200,5,20,1.0,0.2,3.268425746776648,6.905102751434107,0.1634212873388324,0.34525513757170534
k10pct,1,1,11,200,5,20,2.0,0.4,2.1192215784596655,5.160427919590175,0.10596107892298327,0.25802139597950874
k10pct,1,1,12,200,5,20,1.0,0.2,3.1704831894715646,6.812974222791734,0.15852415947357823,0.3406487111395867
k10pct,1,1,12,200,5,20,2.0,0.4,2.0458484116602307,5.05289814879961,0.10229242058301154,0.25264490743998047
k10pct,1,1,13,200,5,20,1.0,0.2,3.1396410266460926,6.743301453310043,0.15698205133230464,0.3371650726655021
k10pct,1,1,13,200,5,20,2.0,0.4,2.0361444085092018,5.016887122790891,0.10180722042546009,0.25084435613954453
k10pct,1,1,14,200,5,20,1.0,0.2,2.8225747181887435,6.427687417157562,0.14112873590943717,0.32138437085787813
k10pct,1,1,14,200,5,20,2.0,0.4,1.6868884278314056,4.757716984988647,0.08434442139157028,0.23788584924943237
k10pct,1,1,15,200,5,20,1.0,0.2,3.474645308429128,7.548223076309256,0.17373226542145642,0.3774111538154628
k10pct,1,1,15,200,5,20,2.0,0.4,2.1779812835682044,5.553839828112137,0.10889906417841022,0.27769199140560685
k10pct,1,1,16,200,5,20,1.0,0.2,3.724469387418832,7.124933222257162,0.1862234693709416,0.35624666111285813
k10pct,1,1,16,200,5,20,2.0,0.4,2.4078825593659126,5.496856898148744,0.12039412796829563,0.2748428449074372
k10pct,1,1,17,200,5,20,1.0,0.2,3.5025095864246527,7.258540412808223,0.17512547932123262,0.36292702064041116
k10pct,1,1,17,200,5,20,2.0,0.4,2.119978207864282,5.4390858516630605,0.1059989103932141,0.271954292583153
k10pct,1,1,18,200,5,20,1.0,0.2,3.3050020332489254,6.8820259096419125,0.16525010166244627,0.3441012954820956
k10pct,1,1,18,200,5,20,2.0,0.4,2.027679394223849,5.213565906301019,0.10138396971119246,0.26067829531505093
