L,regret_linear,regret_softmax,n_trials,k,r_min,r_med
0.1,8.008342336483476,10.909095682539682,1,35,5,8
0.1642857142857143,6.350956475581484,10.281759134920634,1,35,5,8
0.2285714285714286,5.209979273680158,9.64717273809524,1,35,5,8
0.2928571428571429,4.516177173450178,9.090051365079368,1,35,5,8
0.3571428571428572,3.9747112942266796,8.505228500000001,1,35,5,8
0.4214285714285715,3.5384773515603314,7.966424079365076,1,35,5,8
0.48571428571428577,3.1783532617464942,7.44468068253968,1,35,5,8
0.55,2.8722284234063977,6.9710151746031705,1,35,5,8
0.6142857142857143,2.6319650425778747,6.5038253174603184,1,35,5,8
0.6785714285714286,2.4223781361649657,6.0796477857142825,1,35,5,8
0.7428571428571429,2.245592416559777,5.674076642857145,1,35,5,8
0.8071428571428572,2.086576644107762,5.279038142857139,1,35,5,8
0.8714285714285716,1.933147606297542,4.929197539682537,1,35,5,8
0.9357142857142858,1.8030880000533571,4.6202202063492095,1,35,5,8
1.0,1.6874807377791896,4.304505992063493,1,35,5,8
