L,regret_linear,regret_softmax,n_trials,k,r_min,r_med
0.16666666666666666,94.36975020585487,95.54254693121686,1,1345,3,4
0.2261904761904762,92.76609863388626,94.37652338624332,1,1345,3,4
0.2857142857142857,91.16244706191651,93.17305253968243,1,1345,3,4
0.34523809523809523,89.55879548994642,91.99560984126992,1,1345,3,4
0.40476190476190477,87.95514391797678,90.8086975396825,1,1345,3,4
0.4642857142857143,86.35149234600635,89.64189761904743,1,1345,3,4
0.5238095238095238,84.74784077403513,88.45267867724885,1,1345,3,4
0.5833333333333334,83.14418920206481,87.25012230158745,1,1345,3,4
0.6428571428571429,81.54053763009449,86.09069116402122,1,1345,3,4
0.7023809523809523,79.93688605812486,84.89046105820103,1,1345,3,4
0.7619047619047619,78.33323448615477,83.73685137566122,1,1345,3,4
0.8214285714285714,76.72958291418536,82.60038346560839,1,1345,3,4
0.8809523809523809,75.13177078399133,81.39630193121684,1,1345,3,4
0.9404761904761905,73.5345697757383,80.24849886243385,1,1345,3,4
1.0,71.93736876748687,79.1126984920636,1,1345,3,4
