,paper_id,rating,decision,theta_mean,theta_lower50,theta_upper50,theta_lower95,theta_upper95
0,00SnKBGTsz,"[8, 6, 8, 8]",Accept (Spotlight),6.1816554,5.589307188987732,7.183388710021973,7.629867601394653,7.84699854850769
1,00ezkB2iZf,"[5, 3, 6, 3]",Reject,3.5640247,3.0954073071479797,4.148592591285706,4.676625597476959,5.029645800590515
2,01wMplF8TL,"[5, 5, 3, 5]",Reject,4.0224304,3.6551164388656616,4.484891414642334,4.914814448356628,5.171606838703155
3,029hDSVoXK,"[8, 6, 6, 6, 8]",Accept (Poster),6.0004835,5.573924660682678,6.572519063949585,6.973925054073334,7.21567770242691
4,02DCEU6vSU,"[5, 3, 5, 3, 8]",Withdrawn,3.734602,3.1452947854995728,4.495989799499512,5.056081688404083,5.474470233917236
5,02Od16GFRW,"[6, 6, 3]",Reject,3.59346,2.840618312358856,4.528915047645569,5.2188030838966375,5.745241641998291
6,02haSpO453,"[6, 6, 6, 8]",Accept (Poster),5.6020265,5.166113376617432,6.3102744817733765,6.751601195335389,7.05660879611969
7,02kZwCo0C3,"[3, 8, 6, 6]",Reject,4.035453,3.170142352581024,5.04098641872406,5.788189041614532,6.322878038883209
8,03EkqSCKuO,"[8, 5, 8]",Accept (Poster),4.2553515,2.956063747406006,5.741101026535034,6.734769523143768,7.2749416589736935
9,03OkC0LKDD,"[8, 8, 6, 8]",Accept (Spotlight),6.1816554,5.589307188987732,7.183388710021973,7.629867601394653,7.84699854850769
10,03u7pbpyeN,"[5, 6, 3, 3]",Withdrawn,3.5940602,3.1334660053253174,4.154529809951782,4.6629263997077945,4.98745641708374
11,04RGjODVj3,"[3, 3, 5, 1]",Reject,2.5237575,2.073573648929596,3.0573043823242188,3.572347986698151,3.902028274536132
12,04RLVxDvig,"[3, 3, 3, 3]",Reject,2.8755286,2.671509623527527,3.114090323448181,3.3895840823650363,3.5565879225730894
13,04TRw4pYSV,"[3, 3, 3, 5]",Withdrawn,3.1272871,2.803344249725342,3.5409202575683594,3.9237222135066987,4.163512420654297
14,04c5uWq9SA,"[5, 5, 5, 8]",Reject,4.600383,3.987775981426239,5.3528783321380615,5.963261282444,6.3199099659919735
15,04qx93Viwj,"[6, 8, 8]",Accept (Spotlight),5.078106,3.9894614219665527,6.539588928222656,7.303327357769013,7.63426992893219
16,063FuFYQQd,"[6, 3, 5, 5, 5]",Reject,4.3715997,4.041361451148987,4.784157156944275,5.158612823486329,5.37047654390335
17,06B23UkNid,"[3, 5, 5, 3]",Reject,3.5093408,3.148309826850891,3.982743501663208,4.408074688911438,4.704056358337402
18,06GH83hDIv,"[5, 5, 5, 6]",Reject,4.9454584,4.688058614730835,5.289177417755127,5.529093408584595,5.73753696680069
