,paper_id,adjusted_score,decision,rating,subjectivity_interval
0,00SnKBGTsz,7.0,Accept (Spotlight),7.5,"[7.0, 7.5]"
1,00ezkB2iZf,6.0,Reject,4.25,"[4.25, 6.0]"
2,01wMplF8TL,5.0,Reject,4.5,"[4.5, 5.0]"
3,029hDSVoXK,5.6,Accept (Poster),6.8,"[5.6, 6.8]"
4,02DCEU6vSU,5.4,Withdrawn,4.8,"[4.8, 5.4]"
5,02Od16GFRW,5.333333333333333,Reject,5.0,"[5.0, 5.333333333333333]"
6,02haSpO453,6.5,Accept (Poster),6.5,"[6.5, 6.5]"
7,02kZwCo0C3,6.5,Reject,5.75,"[5.75, 6.5]"
8,03EkqSCKuO,6.333333333333333,Accept (Poster),7.0,"[6.333333333333333, 7.0]"
9,03OkC0LKDD,6.5,Accept (Spotlight),7.5,"[6.5, 7.5]"
10,03u7pbpyeN,4.75,Withdrawn,4.25,"[4.25, 4.75]"
11,04RGjODVj3,3.0,Reject,3.0,"[3.0, 3.0]"
12,04RLVxDvig,4.5,Reject,3.0,"[3.0, 4.5]"
13,04TRw4pYSV,4.5,Withdrawn,3.5,"[3.5, 4.5]"
14,04c5uWq9SA,6.25,Reject,5.75,"[5.75, 6.25]"
15,04qx93Viwj,6.666666666666667,Accept (Spotlight),7.333333333333333,"[6.666666666666667, 7.333333333333333]"
16,063FuFYQQd,6.2,Reject,4.8,"[4.8, 6.2]"
17,06B23UkNid,4.5,Reject,4.0,"[4.0, 4.5]"
18,06GH83hDIv,5.25,Reject,5.25,"[5.25, 5.25]"
19,06ZvHHBR0i,2.5,Reject,2.5,"[2.5, 2.5]"
20,07N9jCfIE4,5.6,Reject,5.0,"[5.0, 5.6]"
21,07ZaA3MiL0,3.75,Withdrawn,4.25,"[3.75, 4.25]"
22,07cehZ97Xb,3.6666666666666665,Withdrawn,3.6666666666666665,"[3.6666666666666665, 3.6666666666666665]"
23,07yvxWDSla,7.25,Accept (Oral),8.0,"[7.25, 8.0]"
24,0823rvTIhs,6.5,Accept (Poster),6.25,"[6.25, 6.5]"
25,08FCLXDY3S,5.25,Withdrawn,4.25,"[4.25, 5.25]"
26,09FiNmvNMw,5.0,Accept (Poster),5.666666666666667,"[5.0, 5.666666666666667]"
27,09JVxsEZPf,5.4,Withdrawn,4.8,"[4.8, 5.4]"
28,09LEjbLcZW,5.333333333333333,Reject,5.0,"[5.0, 5.333333333333333]"
29,09TI1yUo9K,4.5,Withdrawn,4.5,"[4.5, 4.5]"
30,0A6f1b66pE,4.6,Withdrawn,4.6,"[4.6, 4.6]"
31,0AHkdAtFW8,5.4,Reject,5.6,"[5.4, 5.6]"
32,0ASCZrVzSX,5.333333333333333,Reject,5.333333333333333,"[5.333333333333333, 5.333333333333333]"
33,0Ag8FQ5Rr3,4.2,Reject,4.6,"[4.2, 4.6]"
34,0ApkwFlCxq,5.25,Reject,6.25,"[5.25, 6.25]"
35,0BBzwpLVpm,4.75,Withdrawn,4.25,"[4.25, 4.75]"
36,0BujOfTqab,6.0,Accept (Poster),5.5,"[5.5, 6.0]"
37,0C5iHPPwsG,5.0,Reject,5.5,"[5.0, 5.5]"
38,0CieWy9ONY,5.75,Accept (Poster),6.5,"[5.75, 6.5]"
39,0CtIt485ew,5.0,Withdrawn,4.0,"[4.0, 5.0]"
40,0CvJYiOo2b,4.5,Reject,4.5,"[4.5, 4.5]"
41,0DZEs8NpUH,6.0,Accept (Poster),6.0,"[6.0, 6.0]"
42,0EP01yhDlg,5.5,Reject,5.0,"[5.0, 5.5]"
43,0F1rIKppTf,6.0,Reject,5.75,"[5.75, 6.0]"
44,0FK6tzqV76,5.5,Accept (Poster),5.75,"[5.5, 5.75]"
45,0FbzC7B9xI,5.8,Accept (Poster),6.6,"[5.8, 6.6]"
46,0Fi3u4RCyU,6.25,Reject,6.5,"[6.25, 6.5]"
47,0FxnSZJPmh,5.0,Accept (Poster),5.666666666666667,"[5.0, 5.666666666666667]"
48,0G6rRLYcxm,4.5,Withdrawn,5.0,"[4.5, 5.0]"
49,0GC81gpjOo,5.5,Reject,4.5,"[4.5, 5.5]"
50,0GzqVqCKns,6.25,Accept (Poster),6.5,"[6.25, 6.5]"
51,0HWAbWgI3T,4.333333333333333,Withdrawn,4.333333333333333,"[4.333333333333333, 4.333333333333333]"
52,0HqPwbN1Su,5.333333333333333,Reject,4.666666666666667,"[4.666666666666667, 5.333333333333333]"
53,0IhoIn0jJ3,4.0,Reject,4.5,"[4.0, 4.5]"
54,0IqriWHWYy,4.5,Reject,4.25,"[4.25, 4.5]"
55,0JOhLEf2bX,3.6666666666666665,Withdrawn,3.6666666666666665,"[3.6666666666666665, 3.6666666666666665]"
56,0JcPJ0CLbx,4.25,Withdrawn,3.75,"[3.75, 4.25]"
57,0JjsZC0w8x,5.75,Reject,5.75,"[5.75, 5.75]"
58,0JwxMqKGxa,4.166666666666667,Withdrawn,3.1666666666666665,"[3.1666666666666665, 4.166666666666667]"
59,0K1OaL6XuK,5.0,Accept (Poster),4.75,"[4.75, 5.0]"
60,0KFwhDqTQ6,4.5,Withdrawn,4.0,"[4.0, 4.5]"
61,0KHW6yXdiZ,5.75,Reject,5.25,"[5.25, 5.75]"
62,0L8wZ9WRah,4.75,Reject,3.75,"[3.75, 4.75]"
63,0LSAmFCc4p,5.25,Accept (Poster),6.25,"[5.25, 6.25]"
64,0Lpz2o6NDE,5.0,Reject,5.0,"[5.0, 5.0]"
65,0MVWOHwHDb,5.5,Reject,5.0,"[5.0, 5.5]"
66,0MhlzybvAp,5.75,Reject,5.5,"[5.5, 5.75]"
67,0N8yq8QwkD,4.6,Withdrawn,5.0,"[4.6, 5.0]"
68,0NAVeUm7sk,5.25,Accept (Poster),6.75,"[5.25, 6.75]"
69,0NEjIZlEhP,4.4,Reject,4.0,"[4.0, 4.4]"
70,0NvSMb7xgC,4.75,Withdrawn,4.75,"[4.75, 4.75]"
71,0OB3RVmTXE,5.0,Withdrawn,4.0,"[4.0, 5.0]"
72,0OTVNEm9N4,6.0,Accept (Poster),7.0,"[6.0, 7.0]"
73,0OzDMjPHa3,4.0,Reject,3.5,"[3.5, 4.0]"
74,0PC9goPpuz,4.333333333333333,Withdrawn,3.6666666666666665,"[3.6666666666666665, 4.333333333333333]"
75,0PcJAHbSmc,5.333333333333333,Reject,5.333333333333333,"[5.333333333333333, 5.333333333333333]"
76,0PxLpVURTl,5.75,Accept (Poster),6.5,"[5.75, 6.5]"
77,0QJPszYxpo,4.2,Reject,5.0,"[4.2, 5.0]"
78,0QZcoGdmtJ,5.75,Reject,6.25,"[5.75, 6.25]"
79,0QePvFoqY6,5.5,Withdrawn,4.5,"[4.5, 5.5]"
80,0QkVAxJ5iZ,6.0,Reject,5.25,"[5.25, 6.0]"
81,0QnKnt411O,5.666666666666667,Accept (Poster),6.666666666666667,"[5.666666666666667, 6.666666666666667]"
82,0QvLISYIKM,5.2,Reject,5.2,"[5.2, 5.2]"
83,0R3ha8oNPU,5.25,Reject,5.0,"[5.0, 5.25]"
84,0R8JUzjSdq,5.0,Reject,5.25,"[5.0, 5.25]"
85,0RHMnPj8no,5.25,Reject,6.0,"[5.25, 6.0]"
86,0RUQmLFF1D,6.0,Reject,5.75,"[5.75, 6.0]"
87,0Ra0E43kK0,5.25,Reject,3.5,"[3.5, 5.25]"
88,0RgLIMh94b,5.25,Withdrawn,4.0,"[4.0, 5.25]"
89,0SpkBUPjL3,4.0,Reject,3.75,"[3.75, 4.0]"
90,0T49QbSOho,6.25,Accept (Poster),6.25,"[6.25, 6.25]"
91,0T8vCKa7yu,4.5,Reject,3.0,"[3.0, 4.5]"
92,0TSAIUCwpp,5.25,Withdrawn,4.25,"[4.25, 5.25]"
93,0Th6bCZwKt,4.75,Reject,4.5,"[4.5, 4.75]"
94,0UCkWfcfb9,4.2,Withdrawn,4.2,"[4.2, 4.2]"
95,0UCoWxPhQ4,5.666666666666667,Accept (Poster),6.666666666666667,"[5.666666666666667, 6.666666666666667]"
96,0ULf242ApE,5.25,Reject,6.0,"[5.25, 6.0]"
97,0UO1mH3Iwv,5.666666666666667,Accept (Poster),6.0,"[5.666666666666667, 6.0]"
98,0UvlnHgaii,5.666666666666667,Accept (Poster),6.0,"[5.666666666666667, 6.0]"
99,0VP3LuzZ8K,5.75,Reject,6.25,"[5.75, 6.25]"
100,0Wl6h2CZeJ,5.5,Reject,5.5,"[5.5, 5.5]"
101,0WqAnYWi7H,5.4,Reject,4.4,"[4.4, 5.4]"
102,0XT3Lg6S2Q,5.5,Reject,5.0,"[5.0, 5.5]"
103,0Xc6o1HKXD,4.333333333333333,Withdrawn,3.6666666666666665,"[3.6666666666666665, 4.333333333333333]"
104,0Xt7uT04cQ,5.8,Accept (Poster),6.4,"[5.8, 6.4]"
105,0YXckVo7Kw,5.5,Withdrawn,5.5,"[5.5, 5.5]"
106,0Yfjerm9Zp,3.5,Withdrawn,3.5,"[3.5, 3.5]"
107,0YkZe9nwiC,4.8,Reject,3.0,"[3.0, 4.8]"
108,0YxvqG9SsJ,5.0,Withdrawn,3.6666666666666665,"[3.6666666666666665, 5.0]"
109,0ZcQhdyI3n,4.166666666666667,Withdrawn,3.8333333333333335,"[3.8333333333333335, 4.166666666666667]"
110,0Zot73kfLB,5.75,Reject,5.25,"[5.25, 5.75]"
111,0a7TRHhhcS,5.25,Reject,4.5,"[4.5, 5.25]"
112,0aTIvSJ83I,4.0,Withdrawn,3.0,"[3.0, 4.0]"
113,0aaaM31hLB,4.5,Reject,5.25,"[4.5, 5.25]"
114,0bcRCD7YUx,6.0,Reject,5.0,"[5.0, 6.0]"
115,0bcUyy2vdY,6.0,Reject,5.5,"[5.5, 6.0]"
116,0bmGL4q7vJ,5.75,Accept (Spotlight),7.5,"[5.75, 7.5]"
117,0bswm093Yl,5.0,Withdrawn,4.75,"[4.75, 5.0]"
118,0cBttXaOUK,5.25,Reject,5.0,"[5.0, 5.25]"
119,0cadcLKbt7,4.0,Withdrawn,4.0,"[4.0, 4.0]"
120,0ctvBgKFgc,7.0,Accept (Oral),8.0,"[7.0, 8.0]"
121,0dELcFHig2,6.0,Accept (Poster),6.666666666666667,"[6.0, 6.666666666666667]"
122,0e26yMOCbd,3.8,Reject,3.4,"[3.4, 3.8]"
123,0e2pcSxQJS,7.0,Accept (Poster),7.0,"[7.0, 7.0]"
124,0eMsrRMmCw,6.0,Accept (Poster),6.666666666666667,"[6.0, 6.666666666666667]"
125,0eRJRbVG95,4.6,Withdrawn,4.4,"[4.4, 4.6]"
126,0er6aOyXUD,4.6,Reject,5.4,"[4.6, 5.4]"
127,0eu837jdBD,4.75,Withdrawn,4.5,"[4.5, 4.75]"
128,0fD3iIBhlV,5.6,Accept (Poster),6.2,"[5.6, 6.2]"
129,0fJfVOSUra,6.0,Accept (Spotlight),7.5,"[6.0, 7.5]"
130,0fhzSFsGUT,6.25,Accept (Spotlight),7.5,"[6.25, 7.5]"
131,0fwJMANq9P,4.75,Reject,5.25,"[4.75, 5.25]"
132,0gGPVbRqOE,4.75,Withdrawn,4.25,"[4.25, 4.75]"
133,0gOQeSHNX1,5.5,Reject,5.75,"[5.5, 5.75]"
134,0gVatTOgEv,4.0,Withdrawn,4.0,"[4.0, 4.0]"
135,0gqCIaBRQ9,5.75,Reject,5.25,"[5.25, 5.75]"
136,0h6v4SpLCY,6.0,Accept (Spotlight),7.333333333333333,"[6.0, 7.333333333333333]"
137,0hc7iQLhCt,5.666666666666667,Reject,3.6666666666666665,"[3.6666666666666665, 5.666666666666667]"
138,0hyShAPeBj,5.25,Reject,4.0,"[4.0, 5.25]"
139,0iAZYF9hrl,3.0,Reject,2.5,"[2.5, 3.0]"
140,0iXfS9Smqf,5.0,Reject,3.5,"[3.5, 5.0]"
141,0iscEAo2xB,6.25,Accept (Poster),6.75,"[6.25, 6.75]"
142,0jJ94VVgzi,6.25,Reject,6.0,"[6.0, 6.25]"
143,0jUeqlQxMi,4.5,Reject,4.0,"[4.0, 4.5]"
144,0je4SA7Jjg,5.75,Reject,6.5,"[5.75, 6.5]"
145,0jmFRA64Vw,3.6666666666666665,Withdrawn,3.0,"[3.0, 3.6666666666666665]"
146,0k7pbSxNOG,5.25,Reject,5.0,"[5.0, 5.25]"
147,0koPj0cJV6,5.4,Reject,4.0,"[4.0, 5.4]"
148,0lMhptUGxP,4.75,Reject,5.25,"[4.75, 5.25]"
149,0lVQBMhsPG,4.2,Withdrawn,4.2,"[4.2, 4.2]"
150,0mJZplhexS,4.5,Withdrawn,4.25,"[4.25, 4.5]"
151,0mdUV1pLGP,4.0,Withdrawn,3.5,"[3.5, 4.0]"
152,0mo2yqOS6Z,4.8,Reject,5.6,"[4.8, 5.6]"
153,0mtz0pet1z,5.25,Accept (Poster),5.75,"[5.25, 5.75]"
154,0n4bS0R5MM,5.4,Accept (Poster),6.2,"[5.4, 6.2]"
155,0nJEgNpb4l,5.25,Accept (Poster),6.25,"[5.25, 6.25]"
156,0nJt9aVGtl,5.0,Reject,4.5,"[4.5, 5.0]"
157,0no1Wp2R2j,5.75,Accept (Poster),5.25,"[5.25, 5.75]"
158,0nxocR2qx4,5.666666666666667,Reject,5.666666666666667,"[5.666666666666667, 5.666666666666667]"
159,0oWGVvC6oq,5.25,Accept (Poster),6.5,"[5.25, 6.5]"
160,0ov0dMQ3mN,5.0,Accept (Poster),6.0,"[5.0, 6.0]"
161,0owAtTCOlU,5.5,Reject,5.75,"[5.5, 5.75]"
162,0owyEm6FAk,4.833333333333333,Withdrawn,4.666666666666667,"[4.666666666666667, 4.833333333333333]"
163,0pLCDJVVRD,5.75,Accept (Poster),7.0,"[5.75, 7.0]"
164,0pbxX2jatP,5.0,Reject,4.333333333333333,"[4.333333333333333, 5.0]"
165,0py3h7pops,5.0,Reject,5.5,"[5.0, 5.5]"
166,0qexTTfnmH,5.25,Withdrawn,3.75,"[3.75, 5.25]"
167,0qfIhtel8N,5.0,Withdrawn,3.0,"[3.0, 5.0]"
168,0qrTH5AZVt,5.0,Reject,4.666666666666667,"[4.666666666666667, 5.0]"
169,0quBGOPP5V,4.75,Withdrawn,3.75,"[3.75, 4.75]"
170,0rACj8JLAL,5.25,Reject,5.5,"[5.25, 5.5]"
171,0rS9o1uKqu,4.0,Reject,2.5,"[2.5, 4.0]"
172,0rmOx0Ifbf,4.8,Reject,4.2,"[4.2, 4.8]"
173,0sJ8TqOLGS,4.75,Reject,5.25,"[4.75, 5.25]"
174,0sU4myabw1,4.5,Reject,4.25,"[4.25, 4.5]"
175,0sary0UZn5,6.0,Reject,5.5,"[5.5, 6.0]"
176,0spR7wDwBh,5.333333333333333,Reject,6.0,"[5.333333333333333, 6.0]"
177,0sr8bS4S2H,4.75,Withdrawn,4.25,"[4.25, 4.75]"
178,0tAXMiSufG,6.8,Accept (Poster),6.4,"[6.4, 6.8]"
179,0tAn34IkXI,4.75,Withdrawn,4.25,"[4.25, 4.75]"
180,0tIiMNNmdm,5.666666666666667,Reject,5.0,"[5.0, 5.666666666666667]"
