,paper_id,rating,decision,theta_mean,theta_lower50,theta_upper50,theta_lower95,theta_upper95
0,00uVk06eVK,"[7, 7, 5]",Poster,4.68049,3.924676477909088,5.844788074493408,6.481781029701233,6.762825238704681
1,01XV5Za56k,"[7, 7, 6, 5]",Poster,5.4612393,5.065011501312256,6.084676384925842,6.513104414939881,6.809157037734985
2,01qa1ZJs65,"[5, 4, 5, 7]",Poster,4.4668922,4.004011154174805,5.083335518836975,5.570573377609253,5.928330659866333
3,01s5ODIHKd,"[6, 6, 4, 6]",Poster,4.874589,4.547694087028503,5.382784485816956,5.792456889152527,6.053677785396576
4,02CIZ8qeDc,"[5, 6, 7]",Poster,4.7384915,4.071947336196899,5.7081204652786255,6.196712028980255,6.571263325214386
5,02HWT9c4Lp,"[6, 5, 5, 6]",Poster,5.144637,4.895763516426086,5.496140837669373,5.76862645149231,5.973757493495941
6,02r24A8doi,"[4, 5, 6, 6]",Poster,4.72267,4.384366154670715,5.19135046005249,5.531119263172149,5.8673790931701655
7,04EC4ZnZJj,"[7, 5, 6, 6]",Poster,5.4148803,5.101352095603943,5.880200028419495,6.246743190288544,6.4433769345283505
8,06JRFVK88O,"[6, 8, 6]",Poster,5.0006194,4.299403548240662,6.106971025466919,6.735964620113373,7.100876700878143
9,06Vt6f2js7,"[7, 6, 7]",Poster,5.5218616,5.050528883934021,6.4237083196640015,6.8315939664840695,7.102146184444427
10,07N0qoaZ2L,"[5, 7, 5, 5]",Poster,4.8789396,4.515852570533752,5.405575275421143,5.783737993240357,5.997094774246216
11,08A6X7FSTs,"[5, 5, 7, 5]",Poster,4.8789396,4.515852570533752,5.405575275421143,5.783737993240357,5.997094774246216
12,08GbdALmEs,"[6, 5, 5, 5]",Poster,4.9454584,4.688058614730835,5.289177417755127,5.529093408584595,5.73753696680069
13,09RKw0vXjR,"[7, 5, 6, 5]",Poster,5.069933,4.711418151855469,5.595561504364014,6.034490466117859,6.259167671203612
14,09nyBqSdUz,"[5, 6, 5, 6]",Poster,5.144637,4.895763516426086,5.496140837669373,5.76862645149231,5.973757493495941
15,0AumdfLzpK,"[6, 6, 6, 6]",Poster,5.7202053,5.510653853416443,5.993111968040466,6.25331472158432,6.426803767681122
16,0AwMciNShl,"[8, 5, 5, 3]",Poster,3.9040842,3.136041045188904,4.8140212297439575,5.604792296886444,6.036530375480652
17,0C3bLHwjsY,"[7, 5, 7, 6]",Poster,5.445848,5.049947619438171,6.0777788162231445,6.526863896846772,6.911364805698395
18,0DE1dLMW2b,"[6, 7, 5, 6]",Poster,5.4148803,5.101352095603943,5.880200028419495,6.246743190288544,6.4433769345283505
19,0EfUYVMrLv,"[6, 7, 7]",Poster,5.514805,5.020328760147095,6.402244806289673,6.824249565601349,7.059822511672974
