,paper_id,title,primary_area,keywords,reviewer_id,rating,soundness,presentation,contribution,confidence,review_number,decision
0,zzOOqD6R1b,Stress-Testing Capability Elicitation With Password-Locked Models,safety_in_machine_learning,"['LLMs', 'Elicitation', 'Fine-tuning', 'Sandbagging', 'Red-teaming', 'Safety']",Reviewer_Y88j,8,4,4,3,4,1,Accept (poster)
1,zzOOqD6R1b,Stress-Testing Capability Elicitation With Password-Locked Models,safety_in_machine_learning,"['LLMs', 'Elicitation', 'Fine-tuning', 'Sandbagging', 'Red-teaming', 'Safety']",Reviewer_VH7G,7,3,3,3,3,2,Accept (poster)
2,zzOOqD6R1b,Stress-Testing Capability Elicitation With Password-Locked Models,safety_in_machine_learning,"['LLMs', 'Elicitation', 'Fine-tuning', 'Sandbagging', 'Red-teaming', 'Safety']",Reviewer_JNQU,5,3,3,3,3,3,Accept (poster)
3,zzOOqD6R1b,Stress-Testing Capability Elicitation With Password-Locked Models,safety_in_machine_learning,"['LLMs', 'Elicitation', 'Fine-tuning', 'Sandbagging', 'Red-teaming', 'Safety']",Reviewer_Vgeo,5,3,4,2,4,4,Accept (poster)
4,zxSWIdyW3A,Cooperative Hardware-Prompt Learning for Snapshot Compressive Imaging,machine_vision,"['snapshot compressive imaging', 'hyperpectral imaging', 'prompt learning', 'federated learning']",Reviewer_aeby,5,2,2,2,3,1,Accept (poster)
5,zxSWIdyW3A,Cooperative Hardware-Prompt Learning for Snapshot Compressive Imaging,machine_vision,"['snapshot compressive imaging', 'hyperpectral imaging', 'prompt learning', 'federated learning']",Reviewer_1X5M,5,2,3,2,4,2,Accept (poster)
6,zxSWIdyW3A,Cooperative Hardware-Prompt Learning for Snapshot Compressive Imaging,machine_vision,"['snapshot compressive imaging', 'hyperpectral imaging', 'prompt learning', 'federated learning']",Reviewer_Jxiy,6,3,3,3,4,3,Accept (poster)
7,zxSWIdyW3A,Cooperative Hardware-Prompt Learning for Snapshot Compressive Imaging,machine_vision,"['snapshot compressive imaging', 'hyperpectral imaging', 'prompt learning', 'federated learning']",Reviewer_BdgG,6,3,3,3,4,4,Accept (poster)
8,zw2K6LfFI9,"PERIA: Perceive, Reason, Imagine, Act via Holistic Language and Vision Planning for Manipulation",generative_models,"['robotics manipulation', 'multi-modal LLM', 'image generation', 'instruction following']",Reviewer_WmQe,6,3,3,3,4,1,Accept (poster)
9,zw2K6LfFI9,"PERIA: Perceive, Reason, Imagine, Act via Holistic Language and Vision Planning for Manipulation",generative_models,"['robotics manipulation', 'multi-modal LLM', 'image generation', 'instruction following']",Reviewer_tWdi,6,3,3,2,4,2,Accept (poster)
10,zw2K6LfFI9,"PERIA: Perceive, Reason, Imagine, Act via Holistic Language and Vision Planning for Manipulation",generative_models,"['robotics manipulation', 'multi-modal LLM', 'image generation', 'instruction following']",Reviewer_C2qN,7,3,3,3,4,3,Accept (poster)
11,zw2K6LfFI9,"PERIA: Perceive, Reason, Imagine, Act via Holistic Language and Vision Planning for Manipulation",generative_models,"['robotics manipulation', 'multi-modal LLM', 'image generation', 'instruction following']",Reviewer_HJPE,6,3,3,3,5,4,Accept (poster)
12,zv9gYC3xgF,Toward Global Convergence of Gradient EM for Over-Paramterized Gaussian Mixture Models,learning_theory,"['over-parameterization', 'global convergence', 'non-convex optimization']",Reviewer_JsCq,6,3,3,2,3,1,Accept (poster)
13,zv9gYC3xgF,Toward Global Convergence of Gradient EM for Over-Paramterized Gaussian Mixture Models,learning_theory,"['over-parameterization', 'global convergence', 'non-convex optimization']",Reviewer_DbMw,6,4,4,2,3,2,Accept (poster)
14,zv9gYC3xgF,Toward Global Convergence of Gradient EM for Over-Paramterized Gaussian Mixture Models,learning_theory,"['over-parameterization', 'global convergence', 'non-convex optimization']",Reviewer_DCG2,6,2,2,2,2,3,Accept (poster)
15,zv9gYC3xgF,Toward Global Convergence of Gradient EM for Over-Paramterized Gaussian Mixture Models,learning_theory,"['over-parameterization', 'global convergence', 'non-convex optimization']",Reviewer_6yVv,6,3,4,2,4,4,Accept (poster)
16,zv4UISZzp5,IDGen: Item Discrimination Induced Prompt Generation for LLM Evaluation,natural_language_processing,"['LLM', 'Data Generalization', 'Discrimination Indexes']",Reviewer_VhvU,7,3,3,3,3,1,Accept (poster)
17,zv4UISZzp5,IDGen: Item Discrimination Induced Prompt Generation for LLM Evaluation,natural_language_processing,"['LLM', 'Data Generalization', 'Discrimination Indexes']",Reviewer_K8YF,4,3,1,2,3,2,Accept (poster)
18,zv4UISZzp5,IDGen: Item Discrimination Induced Prompt Generation for LLM Evaluation,natural_language_processing,"['LLM', 'Data Generalization', 'Discrimination Indexes']",Reviewer_UD21,4,3,3,3,2,3,Accept (poster)
19,zuwpeRkJNH,Procedure-Aware Surgical Video-language Pretraining with Hierarchical Knowledge Augmentation,machine_learning_for_healthcare,"['Surgical Data Science', 'Video-language Pretraining', 'Multi-modal', 'Surgical Foundation Model']",Reviewer_usyA,8,3,4,4,5,1,Accept (spotlight)
20,zuwpeRkJNH,Procedure-Aware Surgical Video-language Pretraining with Hierarchical Knowledge Augmentation,machine_learning_for_healthcare,"['Surgical Data Science', 'Video-language Pretraining', 'Multi-modal', 'Surgical Foundation Model']",Reviewer_EZYT,8,4,4,4,5,2,Accept (spotlight)
21,zuwpeRkJNH,Procedure-Aware Surgical Video-language Pretraining with Hierarchical Knowledge Augmentation,machine_learning_for_healthcare,"['Surgical Data Science', 'Video-language Pretraining', 'Multi-modal', 'Surgical Foundation Model']",Reviewer_smvC,6,2,3,2,4,3,Accept (spotlight)
22,zuwpeRkJNH,Procedure-Aware Surgical Video-language Pretraining with Hierarchical Knowledge Augmentation,machine_learning_for_healthcare,"['Surgical Data Science', 'Video-language Pretraining', 'Multi-modal', 'Surgical Foundation Model']",Reviewer_HH5E,5,2,3,2,4,4,Accept (spotlight)
23,zuwLGhgxtQ,A Separation in Heavy-Tailed Sampling: Gaussian vs. Stable Oracles for Proximal Samplers,learning_theory,"['Proximal samplers', 'Complexity of heavy-tailed sampling', 'Restricted Gaussian oracle', 'Restricted Stable oracle']",Reviewer_kBax,7,3,4,3,3,1,Accept (poster)
24,zuwLGhgxtQ,A Separation in Heavy-Tailed Sampling: Gaussian vs. Stable Oracles for Proximal Samplers,learning_theory,"['Proximal samplers', 'Complexity of heavy-tailed sampling', 'Restricted Gaussian oracle', 'Restricted Stable oracle']",Reviewer_YAjf,7,3,3,3,1,2,Accept (poster)
25,zuwLGhgxtQ,A Separation in Heavy-Tailed Sampling: Gaussian vs. Stable Oracles for Proximal Samplers,learning_theory,"['Proximal samplers', 'Complexity of heavy-tailed sampling', 'Restricted Gaussian oracle', 'Restricted Stable oracle']",Reviewer_vTyM,7,2,2,3,1,3,Accept (poster)
26,zuwLGhgxtQ,A Separation in Heavy-Tailed Sampling: Gaussian vs. Stable Oracles for Proximal Samplers,learning_theory,"['Proximal samplers', 'Complexity of heavy-tailed sampling', 'Restricted Gaussian oracle', 'Restricted Stable oracle']",Reviewer_MHrz,8,3,3,3,3,4,Accept (poster)
27,zuwLGhgxtQ,A Separation in Heavy-Tailed Sampling: Gaussian vs. Stable Oracles for Proximal Samplers,learning_theory,"['Proximal samplers', 'Complexity of heavy-tailed sampling', 'Restricted Gaussian oracle', 'Restricted Stable oracle']",Reviewer_nmvc,6,3,3,3,2,5,Accept (poster)
28,zuWgB7GerW,How DNNs break the Curse of Dimensionality: Compositionality and Symmetry Learning,learning_theory,"['Generalization', 'Rademacher complexity', 'Compositionality', 'Feature Learning']",Reviewer_vTqY,5,3,4,3,3,1,Reject
29,zuWgB7GerW,How DNNs break the Curse of Dimensionality: Compositionality and Symmetry Learning,learning_theory,"['Generalization', 'Rademacher complexity', 'Compositionality', 'Feature Learning']",Reviewer_eK3L,7,4,4,4,3,2,Reject
30,zuWgB7GerW,How DNNs break the Curse of Dimensionality: Compositionality and Symmetry Learning,learning_theory,"['Generalization', 'Rademacher complexity', 'Compositionality', 'Feature Learning']",Reviewer_GvvC,6,3,2,3,3,3,Reject
31,ztwl4ubnXV,OxonFair: A Flexible Toolkit for Algorithmic Fairness,infrastructure,"['Fairness Toolkit', 'Algorithmic Fairness', 'Trustworthy AI']",Reviewer_aniZ,7,3,2,3,3,1,Accept (poster)
32,ztwl4ubnXV,OxonFair: A Flexible Toolkit for Algorithmic Fairness,infrastructure,"['Fairness Toolkit', 'Algorithmic Fairness', 'Trustworthy AI']",Reviewer_JNWw,7,3,2,3,1,2,Accept (poster)
33,ztwl4ubnXV,OxonFair: A Flexible Toolkit for Algorithmic Fairness,infrastructure,"['Fairness Toolkit', 'Algorithmic Fairness', 'Trustworthy AI']",Reviewer_AiSk,6,3,3,3,4,3,Accept (poster)
34,ztwl4ubnXV,OxonFair: A Flexible Toolkit for Algorithmic Fairness,infrastructure,"['Fairness Toolkit', 'Algorithmic Fairness', 'Trustworthy AI']",Reviewer_AKgy,4,3,2,2,4,4,Accept (poster)
35,ztwl4ubnXV,OxonFair: A Flexible Toolkit for Algorithmic Fairness,infrastructure,"['Fairness Toolkit', 'Algorithmic Fairness', 'Trustworthy AI']",Reviewer_9LRe,6,3,2,3,3,5,Accept (poster)
36,zsXbGJJ7Oo,G2D: From Global to Dense Radiography Representation Learning via Vision-Language Pre-training,machine_learning_for_healthcare,"['Medical Vision-Language Pre-training', 'dense visual learning']",Reviewer_t3s2,5,3,3,2,5,1,Accept (poster)
37,zsXbGJJ7Oo,G2D: From Global to Dense Radiography Representation Learning via Vision-Language Pre-training,machine_learning_for_healthcare,"['Medical Vision-Language Pre-training', 'dense visual learning']",Reviewer_SZ6L,5,3,3,3,4,2,Accept (poster)
38,zsXbGJJ7Oo,G2D: From Global to Dense Radiography Representation Learning via Vision-Language Pre-training,machine_learning_for_healthcare,"['Medical Vision-Language Pre-training', 'dense visual learning']",Reviewer_bXf3,6,4,4,3,4,3,Accept (poster)
39,zsXbGJJ7Oo,G2D: From Global to Dense Radiography Representation Learning via Vision-Language Pre-training,machine_learning_for_healthcare,"['Medical Vision-Language Pre-training', 'dense visual learning']",Reviewer_iPQX,6,3,4,3,4,4,Accept (poster)
40,zqLAMwVLkt,Generative Semi-supervised Graph Anomaly Detection,graph_neural_networks,"['Anomaly Detection', 'Graph Neural Network', 'Graph Anomaly Detection']",Reviewer_7mdh,5,3,3,3,4,1,Accept (poster)
41,zqLAMwVLkt,Generative Semi-supervised Graph Anomaly Detection,graph_neural_networks,"['Anomaly Detection', 'Graph Neural Network', 'Graph Anomaly Detection']",Reviewer_R8Ff,6,3,3,3,3,2,Accept (poster)
42,zqLAMwVLkt,Generative Semi-supervised Graph Anomaly Detection,graph_neural_networks,"['Anomaly Detection', 'Graph Neural Network', 'Graph Anomaly Detection']",Reviewer_JEU8,5,2,3,2,5,3,Accept (poster)
43,zqLAMwVLkt,Generative Semi-supervised Graph Anomaly Detection,graph_neural_networks,"['Anomaly Detection', 'Graph Neural Network', 'Graph Anomaly Detection']",Reviewer_yDqR,5,2,3,2,3,4,Accept (poster)
44,zqLAMwVLkt,Generative Semi-supervised Graph Anomaly Detection,graph_neural_networks,"['Anomaly Detection', 'Graph Neural Network', 'Graph Anomaly Detection']",Reviewer_FpxG,7,4,3,3,4,5,Accept (poster)
45,zpw6NmhvKU,RashomonGB: Analyzing the Rashomon Effect and Mitigating Predictive Multiplicity in Gradient Boosting,safety_in_machine_learning,['Rashomon effects; predictive multiplicity; gradient boosting; tabular data'],Reviewer_E8Ec,6,2,3,3,4,1,Accept (poster)
46,zpw6NmhvKU,RashomonGB: Analyzing the Rashomon Effect and Mitigating Predictive Multiplicity in Gradient Boosting,safety_in_machine_learning,['Rashomon effects; predictive multiplicity; gradient boosting; tabular data'],Reviewer_XEPy,5,3,2,3,2,2,Accept (poster)
47,zpw6NmhvKU,RashomonGB: Analyzing the Rashomon Effect and Mitigating Predictive Multiplicity in Gradient Boosting,safety_in_machine_learning,['Rashomon effects; predictive multiplicity; gradient boosting; tabular data'],Reviewer_JGsC,7,3,3,3,4,3,Accept (poster)
48,zpw6NmhvKU,RashomonGB: Analyzing the Rashomon Effect and Mitigating Predictive Multiplicity in Gradient Boosting,safety_in_machine_learning,['Rashomon effects; predictive multiplicity; gradient boosting; tabular data'],Reviewer_HS14,6,3,3,3,2,4,Accept (poster)
49,znBiAp5ISn,TAS-GNN: Topology-Aware Spiking Graph Neural Networks for Graph Classification,neuroscience_and_cognitive_science,"['Spiking Neural Network', 'Graph Neural Network', 'Graph Classification']",Reviewer_5K64,6,3,2,2,4,1,Reject
50,znBiAp5ISn,TAS-GNN: Topology-Aware Spiking Graph Neural Networks for Graph Classification,neuroscience_and_cognitive_science,"['Spiking Neural Network', 'Graph Neural Network', 'Graph Classification']",Reviewer_icJz,7,3,2,3,5,2,Reject
51,znBiAp5ISn,TAS-GNN: Topology-Aware Spiking Graph Neural Networks for Graph Classification,neuroscience_and_cognitive_science,"['Spiking Neural Network', 'Graph Neural Network', 'Graph Classification']",Reviewer_4pSD,3,2,2,2,4,3,Reject
52,znBiAp5ISn,TAS-GNN: Topology-Aware Spiking Graph Neural Networks for Graph Classification,neuroscience_and_cognitive_science,"['Spiking Neural Network', 'Graph Neural Network', 'Graph Classification']",Reviewer_MTu6,6,3,3,3,4,4,Reject
53,zn6s6VQYb0,GraphCroc: Cross-Correlation Autoencoder for Graph Structural Reconstruction,graph_neural_networks,"['Graph Neural Network', 'Graph Representation', 'Auto-Encoder']",Reviewer_QrYC,5,3,3,3,4,1,Accept (poster)
54,zn6s6VQYb0,GraphCroc: Cross-Correlation Autoencoder for Graph Structural Reconstruction,graph_neural_networks,"['Graph Neural Network', 'Graph Representation', 'Auto-Encoder']",Reviewer_Xxf1,6,3,3,3,4,2,Accept (poster)
55,zn6s6VQYb0,GraphCroc: Cross-Correlation Autoencoder for Graph Structural Reconstruction,graph_neural_networks,"['Graph Neural Network', 'Graph Representation', 'Auto-Encoder']",Reviewer_Msno,5,3,2,3,4,3,Accept (poster)
56,zm1LcgRpHm,"Segment, Shuffle, and Stitch: A Simple Layer for Improving Time-Series Representations",deep_learning_architectures,"['Time Series', 'Deep Learning', 'Representation Learning', 'Temporal Mechanism']",Reviewer_dMD7,5,2,3,3,4,1,Accept (poster)
57,zm1LcgRpHm,"Segment, Shuffle, and Stitch: A Simple Layer for Improving Time-Series Representations",deep_learning_architectures,"['Time Series', 'Deep Learning', 'Representation Learning', 'Temporal Mechanism']",Reviewer_2e8Y,4,2,3,2,3,2,Accept (poster)
58,zm1LcgRpHm,"Segment, Shuffle, and Stitch: A Simple Layer for Improving Time-Series Representations",deep_learning_architectures,"['Time Series', 'Deep Learning', 'Representation Learning', 'Temporal Mechanism']",Reviewer_5XMz,8,4,4,4,5,3,Accept (poster)
59,zm1LcgRpHm,"Segment, Shuffle, and Stitch: A Simple Layer for Improving Time-Series Representations",deep_learning_architectures,"['Time Series', 'Deep Learning', 'Representation Learning', 'Temporal Mechanism']",Reviewer_xbmW,6,2,3,2,4,4,Accept (poster)
60,zm1LcgRpHm,"Segment, Shuffle, and Stitch: A Simple Layer for Improving Time-Series Representations",deep_learning_architectures,"['Time Series', 'Deep Learning', 'Representation Learning', 'Temporal Mechanism']",Reviewer_FZgx,6,3,4,3,4,5,Accept (poster)
61,zlgfRk2CQa,Rethinking Deep Thinking: Stable Learning of Algorithms using Lipschitz Constraints,deep_learning_architectures,"['machine learning', 'iterative algorithms', 'deep thinking', 'lipschitz', 'traveling salesperson problem', 'contraction mapping']",Reviewer_vZtn,6,3,3,2,3,1,Accept (poster)
62,zlgfRk2CQa,Rethinking Deep Thinking: Stable Learning of Algorithms using Lipschitz Constraints,deep_learning_architectures,"['machine learning', 'iterative algorithms', 'deep thinking', 'lipschitz', 'traveling salesperson problem', 'contraction mapping']",Reviewer_9kC6,8,4,4,3,4,2,Accept (poster)
63,zlgfRk2CQa,Rethinking Deep Thinking: Stable Learning of Algorithms using Lipschitz Constraints,deep_learning_architectures,"['machine learning', 'iterative algorithms', 'deep thinking', 'lipschitz', 'traveling salesperson problem', 'contraction mapping']",Reviewer_x7iE,6,3,3,1,4,3,Accept (poster)
64,zlgfRk2CQa,Rethinking Deep Thinking: Stable Learning of Algorithms using Lipschitz Constraints,deep_learning_architectures,"['machine learning', 'iterative algorithms', 'deep thinking', 'lipschitz', 'traveling salesperson problem', 'contraction mapping']",Reviewer_ipKY,6,3,3,3,4,4,Accept (poster)
65,zkhyrxlwqH,Unsupervised Homography Estimation on Multimodal Image Pair via Alternating Optimization,machine_vision,"['Homography Estimation', 'Unsupervised Learning', 'Cross Domain', 'Image Registration', 'Image Alignment', 'Multimodal', 'Alternating Optimization']",Reviewer_EsVS,3,2,2,2,5,1,Accept (poster)
66,zkhyrxlwqH,Unsupervised Homography Estimation on Multimodal Image Pair via Alternating Optimization,machine_vision,"['Homography Estimation', 'Unsupervised Learning', 'Cross Domain', 'Image Registration', 'Image Alignment', 'Multimodal', 'Alternating Optimization']",Reviewer_sFim,7,2,3,3,4,2,Accept (poster)
67,zkhyrxlwqH,Unsupervised Homography Estimation on Multimodal Image Pair via Alternating Optimization,machine_vision,"['Homography Estimation', 'Unsupervised Learning', 'Cross Domain', 'Image Registration', 'Image Alignment', 'Multimodal', 'Alternating Optimization']",Reviewer_PrYW,6,3,3,3,5,3,Accept (poster)
68,zkfCa4oESF,TPR: Topology-Preserving Reservoirs for Generalized Zero-Shot Learning,machine_vision,"['Generalized Zero-shot Learning', 'Vision-Language Models', 'Contrastive Learning']",Reviewer_8m4c,6,3,3,3,3,1,Accept (poster)
69,zkfCa4oESF,TPR: Topology-Preserving Reservoirs for Generalized Zero-Shot Learning,machine_vision,"['Generalized Zero-shot Learning', 'Vision-Language Models', 'Contrastive Learning']",Reviewer_k9s8,4,3,3,2,5,2,Accept (poster)
70,zkfCa4oESF,TPR: Topology-Preserving Reservoirs for Generalized Zero-Shot Learning,machine_vision,"['Generalized Zero-shot Learning', 'Vision-Language Models', 'Contrastive Learning']",Reviewer_TcJo,6,3,3,3,5,3,Accept (poster)
71,zkfCa4oESF,TPR: Topology-Preserving Reservoirs for Generalized Zero-Shot Learning,machine_vision,"['Generalized Zero-shot Learning', 'Vision-Language Models', 'Contrastive Learning']",Reviewer_BqNV,7,4,4,1,5,4,Accept (poster)
